year,day,month,running_day,hour,temp,pressure,wind_speed,wind_direction,humidity,delta_t,station_id
2018,6,1,6,1500,-26.1,631,4.4,267,63,NA,ag4201801q3h
2018,6,1,6,1800,-25.9,630.6,4.7,260,67,NA,ag4201801q3h
2018,6,1,6,2100,-25.4,630.1,4.9,256,68.8,NA,ag4201801q3h
2018,7,1,7,0,-23.3,630.2,6,240,66,NA,ag4201801q3h
2018,7,1,7,300,-21.4,630.1,7.3,227,65,NA,ag4201801q3h
2018,7,1,7,600,-21.2,630.5,9.2,221,68,NA,ag4201801q3h
2018,7,1,7,900,-21.5,631,8.9,215,67,NA,ag4201801q3h
2018,7,1,7,1200,-22.2,631.3,7.2,225,66.8,NA,ag4201801q3h
2018,7,1,7,1500,-23.3,631.4,5.9,240,71,NA,ag4201801q3h
2018,7,1,7,1800,-24.1,631.3,6.5,233,70,NA,ag4201801q3h
2018,7,1,7,2100,-24,631.2,6.2,228,69,NA,ag4201801q3h
2018,8,1,8,0,-24.4,631.3,6.8,216,66,NA,ag4201801q3h
2018,8,1,8,300,-23.2,630.5,7.6,197,64,NA,ag4201801q3h
2018,8,1,8,600,-23.8,630.1,7.8,195,64.6,NA,ag4201801q3h
2018,8,1,8,900,-24.4,630,8,188,60.5,NA,ag4201801q3h
2018,8,1,8,1200,-25.2,629.8,6.3,190,65,NA,ag4201801q3h
2018,8,1,8,1500,-25.6,629.2,5.1,191,67,NA,ag4201801q3h
2018,8,1,8,1800,-28.4,628.6,4.5,209,68,NA,ag4201801q3h
2018,8,1,8,2100,-29.4,628.2,3.3,192,63,NA,ag4201801q3h
2018,9,1,9,0,-28.6,627.8,3.3,151,64,NA,ag4201801q3h
2018,9,1,9,300,-27.2,627.6,3.7,99,64,NA,ag4201801q3h
2018,9,1,9,600,-27.2,627.5,4.4,87,59,NA,ag4201801q3h
2018,9,1,9,900,-27.6,627.6,3.4,94,58.1,NA,ag4201801q3h
2018,9,1,9,1200,-28.2,627.6,1.6,65,58,NA,ag4201801q3h
2018,9,1,9,1500,NA,627.5,0.6,47,56,NA,ag4201801q3h
2018,9,1,9,1800,-31.9,627.5,1.8,332,63,NA,ag4201801q3h
2018,9,1,9,2100,-34.7,627.6,2.7,310,61,NA,ag4201801q3h
2018,10,1,10,0,-33.9,627.7,3.2,293,60,NA,ag4201801q3h
2018,10,1,10,300,-31.4,627.4,3.2,289,60,NA,ag4201801q3h
2018,10,1,10,600,-29.9,627.6,3.7,280,61,NA,ag4201801q3h
2018,10,1,10,900,-28.7,627.6,3.2,280,58.5,NA,ag4201801q3h
2018,10,1,10,1200,-29.4,627.5,2.2,295,57.9,NA,ag4201801q3h
2018,10,1,10,1500,-32.4,627.2,4,290,62,NA,ag4201801q3h
2018,10,1,10,1800,-34.4,627.3,4.6,266,61,NA,ag4201801q3h
2018,10,1,10,2100,-35.4,627.6,4.4,271,60,NA,ag4201801q3h
2018,11,1,11,0,-34.3,627.8,4.4,263,58.8,NA,ag4201801q3h
2018,11,1,11,300,-31.4,627.8,5.4,272,61,NA,ag4201801q3h
2018,11,1,11,600,-29,628,6.1,263,60,NA,ag4201801q3h
2018,11,1,11,900,-27.8,628.1,6.4,255,59,NA,ag4201801q3h
2018,11,1,11,1200,-28.1,628.3,6.1,264,59,NA,ag4201801q3h
2018,11,1,11,1500,-30.2,628.3,5.8,269,63.2,NA,ag4201801q3h
2018,11,1,11,1800,-32.5,628.5,5.5,265,60,NA,ag4201801q3h
2018,11,1,11,2100,-33,628.5,5.6,265,60,NA,ag4201801q3h
2018,12,1,12,0,-31.9,628.6,6.3,257,59,NA,ag4201801q3h
2018,12,1,12,300,-29.5,628.3,7.3,248,61.7,NA,ag4201801q3h
2018,12,1,12,600,-28.7,628.6,6.9,234,62,NA,ag4201801q3h
2018,12,1,12,900,-27.5,628.8,6.3,228,61,NA,ag4201801q3h
2018,12,1,12,1200,-27.7,629,4.4,230,60.3,NA,ag4201801q3h
2018,12,1,12,1500,-29.9,629,3.9,234,62,NA,ag4201801q3h
2018,12,1,12,1800,-29.8,628.8,4.2,230,67,NA,ag4201801q3h
2018,12,1,12,2100,-31.4,628.7,3.2,256,63,NA,ag4201801q3h
2018,13,1,13,0,-30.4,628.7,4.1,228,59.6,NA,ag4201801q3h
2018,13,1,13,300,-29.7,628.1,6.2,227,59,NA,ag4201801q3h
2018,13,1,13,600,-28.3,627.7,5.7,225,62,NA,ag4201801q3h
2018,13,1,13,900,-26.5,627.1,4.8,209,62.5,NA,ag4201801q3h
2018,13,1,13,1200,-26.9,626.8,3.4,195,65,NA,ag4201801q3h
2018,13,1,13,1500,-28.6,625.9,2.6,207,66.6,NA,ag4201801q3h
2018,13,1,13,1800,-27.5,625.3,2.4,185,69,NA,ag4201801q3h
2018,13,1,13,2100,-27.4,624.7,1.9,195,69,NA,ag4201801q3h
2018,14,1,14,0,-27.6,624.3,1.6,146,67,NA,ag4201801q3h
2018,14,1,14,300,-26.6,623.6,1.6,88,66.4,NA,ag4201801q3h
2018,14,1,14,600,-26.9,623,0.8,53,66,NA,ag4201801q3h
2018,14,1,14,900,-27.1,622.4,2.3,31,66,NA,ag4201801q3h
2018,14,1,14,1200,-26.2,621.8,0.5,69,67,NA,ag4201801q3h
2018,14,1,14,1500,-27.2,620.9,2.2,55,69,NA,ag4201801q3h
2018,14,1,14,1800,-30.9,620.2,1.4,52,66.1,NA,ag4201801q3h
2018,14,1,14,2100,-29.9,619.4,1.2,42,65,NA,ag4201801q3h
2018,15,1,15,0,-29.4,618.9,2.6,15,64,NA,ag4201801q3h
2018,15,1,15,300,-30.2,618.2,2.9,349,62,NA,ag4201801q3h
2018,15,1,15,600,-29.7,617.7,3.7,338,60.6,NA,ag4201801q3h
2018,15,1,15,900,-29.3,617.4,3.8,326,59,NA,ag4201801q3h
2018,15,1,15,1200,NA,617.2,1.2,360,NA,NA,ag4201801q3h
2018,15,1,15,1500,-33.3,616.6,2.2,337,63,NA,ag4201801q3h
2018,15,1,15,1800,-36,616.2,2.5,322,61,NA,ag4201801q3h
2018,15,1,15,2100,-36.8,616.4,2.4,310,60,NA,ag4201801q3h
2018,16,1,16,0,-35.8,616.4,3,288,59,NA,ag4201801q3h
2018,16,1,16,300,-33,616.4,2.9,281,60,NA,ag4201801q3h
2018,16,1,16,600,-31.5,616.6,3,275,60,NA,ag4201801q3h
2018,16,1,16,900,-30.7,617.3,2.3,221,58.5,NA,ag4201801q3h
2018,16,1,16,1200,-30.9,617.6,2.7,204,65,NA,ag4201801q3h
2018,16,1,16,1500,-29.5,617.7,2.7,163,67,NA,ag4201801q3h
2018,16,1,16,1800,-29,618.1,1.2,117,68,NA,ag4201801q3h
2018,16,1,16,2100,-28.5,618.5,1.8,208,68,NA,ag4201801q3h
2018,17,1,17,0,-29.6,618.7,3.2,185,65,NA,ag4201801q3h
2018,17,1,17,300,-29.7,618.6,3.4,218,62.8,NA,ag4201801q3h
2018,17,1,17,600,-26.7,618.3,3.6,179,64.5,NA,ag4201801q3h
2018,17,1,17,900,-23.3,618.7,1.6,175,65,NA,ag4201801q3h
2018,17,1,17,1200,-26.1,618.4,2.3,174,62,NA,ag4201801q3h
2018,17,1,17,1500,-30.6,618.1,1.3,185,63,NA,ag4201801q3h
2018,17,1,17,1800,-32.1,617.9,0.9,207,61,NA,ag4201801q3h
2018,17,1,17,2100,-32.8,618.1,1.6,181,63,NA,ag4201801q3h
2018,18,1,18,0,-32.2,617.9,1.4,192,63,NA,ag4201801q3h
2018,18,1,18,300,-30.9,617.6,1.9,185,63,NA,ag4201801q3h
2018,18,1,18,600,-29.6,617.6,1.7,152,63,NA,ag4201801q3h
2018,18,1,18,900,-28.4,617.8,1.4,153,62.2,NA,ag4201801q3h
2018,18,1,18,1200,-29.3,617.8,1.5,153,63,NA,ag4201801q3h
2018,18,1,18,1500,-32.1,617.7,0.8,199,63,NA,ag4201801q3h
2018,18,1,18,1800,-35.1,617.8,1.8,246,62,NA,ag4201801q3h
2018,18,1,18,2100,-36.2,618.3,2.3,240,60.4,NA,ag4201801q3h
2018,19,1,19,0,-35.1,618.4,2,224,60,NA,ag4201801q3h
2018,19,1,19,300,-31.1,618.5,1.8,191,61,NA,ag4201801q3h
2018,19,1,19,600,-28.9,618.7,1.6,186,62,NA,ag4201801q3h
2018,19,1,19,900,-28.7,619,2,201,61.8,NA,ag4201801q3h
2018,19,1,19,1200,-29.2,619.1,1.4,214,55.2,NA,ag4201801q3h
2018,19,1,19,1500,-32.5,619.1,1.7,218,58,NA,ag4201801q3h
2018,19,1,19,1800,-36.2,619.3,2.3,249,62,NA,ag4201801q3h
2018,19,1,19,2100,-38,619.7,2.6,266,61,NA,ag4201801q3h
2018,20,1,20,0,-36.7,619.7,2.9,270,59.3,NA,ag4201801q3h
2018,20,1,20,300,-33.3,619.6,2.6,245,61,NA,ag4201801q3h
2018,20,1,20,600,-30.6,619.9,2,243,60.8,NA,ag4201801q3h
2018,20,1,20,900,-30,620,2.7,242,60,NA,ag4201801q3h
2018,20,1,20,1200,-31.3,620.1,2.4,245,58.5,NA,ag4201801q3h
2018,20,1,20,1500,-34.6,620.5,2.5,254,60.3,NA,ag4201801q3h
2018,20,1,20,1800,-38,620.6,2.7,270,60,NA,ag4201801q3h
2018,20,1,20,2100,-38.3,620.8,2.7,252,60,NA,ag4201801q3h
2018,21,1,21,0,-37.1,621.4,2.9,246,58,NA,ag4201801q3h
2018,21,1,21,300,-34.3,621.5,2.4,244,57.8,NA,ag4201801q3h
2018,21,1,21,600,-31.5,621.8,2.2,220,56,NA,ag4201801q3h
2018,21,1,21,900,-30,622.1,1.7,236,57,NA,ag4201801q3h
2018,21,1,21,1200,-31.1,622.4,1.4,252,53,NA,ag4201801q3h
2018,21,1,21,1500,-33.8,622.5,1.8,232,58.7,NA,ag4201801q3h
2018,21,1,21,1800,-37.7,622.9,1.3,252,60,NA,ag4201801q3h
2018,21,1,21,2100,-39.1,623.1,2,276,59,NA,ag4201801q3h
2018,22,1,22,0,-37,623.4,1.5,267,58,NA,ag4201801q3h
2018,22,1,22,300,-34.3,623.5,2.1,269,59,NA,ag4201801q3h
2018,22,1,22,600,-31.2,623.5,1.8,231,56,NA,ag4201801q3h
2018,22,1,22,900,-30.6,623.6,1.9,275,57,NA,ag4201801q3h
2018,22,1,22,1200,-32.1,623.7,1.2,274,56,NA,ag4201801q3h
2018,22,1,22,1500,-34.8,623.5,1.8,295,60,NA,ag4201801q3h
2018,22,1,22,1800,-38.2,623.3,2.4,297,60,NA,ag4201801q3h
2018,22,1,22,2100,-39.4,623.2,2.6,296,59,NA,ag4201801q3h
2018,23,1,23,0,-38,623.3,3,296,58,NA,ag4201801q3h
2018,23,1,23,300,-35.2,623,3.4,297,57,NA,ag4201801q3h
2018,23,1,23,600,-32.9,623,3.7,296,56,NA,ag4201801q3h
2018,23,1,23,900,-32.4,622.9,3.8,288,57,NA,ag4201801q3h
2018,23,1,23,1200,-33.3,622.9,3.1,286,57,NA,ag4201801q3h
2018,23,1,23,1500,-36.6,622.9,2.9,290,58.1,NA,ag4201801q3h
2018,23,1,23,1800,-39.5,622.7,3.9,286,59,NA,ag4201801q3h
2018,23,1,23,2100,-40.5,622.9,3.5,290,57,NA,ag4201801q3h
2018,24,1,24,0,-38.9,622.9,4.1,282,57.4,NA,ag4201801q3h
2018,24,1,24,300,-35.8,622.7,3.5,282,59,NA,ag4201801q3h
2018,24,1,24,600,-33.6,622.6,3.8,278,57.8,NA,ag4201801q3h
2018,24,1,24,900,-32.3,622.5,3.5,288,58,NA,ag4201801q3h
2018,24,1,24,1200,-33.4,622.5,2.6,291,57,NA,ag4201801q3h
2018,24,1,24,1500,-36.8,622.5,3.2,289,58,NA,ag4201801q3h
2018,24,1,24,1800,-39.5,622.6,3.7,284,57.9,NA,ag4201801q3h
2018,24,1,24,2100,-40.1,622.8,3.9,282,57,NA,ag4201801q3h
2018,25,1,25,0,-38.6,623.3,4.3,278,56,NA,ag4201801q3h
2018,25,1,25,300,-36.2,623.3,5,271,58,NA,ag4201801q3h
2018,25,1,25,600,-33.6,623.7,4.5,261,56.5,NA,ag4201801q3h
2018,25,1,25,900,-32.7,624.3,4.4,265,56.8,NA,ag4201801q3h
2018,25,1,25,1200,-33.6,624.8,3.5,273,57,NA,ag4201801q3h
2018,25,1,25,1500,-36.5,625,3.8,277,59,NA,ag4201801q3h
2018,25,1,25,1800,-39.3,625.4,3.7,278,60,NA,ag4201801q3h
2018,25,1,25,2100,-40,625.7,4.1,280,57.5,NA,ag4201801q3h
2018,26,1,26,0,-38.9,625.9,5.1,279,56,NA,ag4201801q3h
2018,26,1,26,300,-36.7,625.7,5.5,279,59.4,NA,ag4201801q3h
2018,26,1,26,600,-34.2,625.6,5.5,283,58,NA,ag4201801q3h
2018,26,1,26,900,-32.7,625.5,5.4,286,61,NA,ag4201801q3h
2018,26,1,26,1200,-32.9,625.2,4.3,286,57,NA,ag4201801q3h
2018,26,1,26,1500,-35,624.9,4.7,289,59,NA,ag4201801q3h
2018,26,1,26,1800,-38,624.4,4.7,286,58,NA,ag4201801q3h
2018,26,1,26,2100,-39.1,624.2,5,275,57,NA,ag4201801q3h
2018,27,1,27,0,-38,624.5,6,262,55.2,NA,ag4201801q3h
2018,27,1,27,300,-36.1,624.5,6.4,258,56,NA,ag4201801q3h
2018,27,1,27,600,-34.4,624.9,7.4,258,58,NA,ag4201801q3h
2018,27,1,27,900,-33.5,625.3,6.1,254,60,NA,ag4201801q3h
2018,27,1,27,1200,-34,625.8,4.4,258,57,NA,ag4201801q3h
2018,27,1,27,1500,-36.9,626.2,3.8,272,59,NA,ag4201801q3h
2018,27,1,27,1800,-39.8,626.5,3.2,270,59,NA,ag4201801q3h
2018,27,1,27,2100,-40.7,626.9,3.6,269,58.5,NA,ag4201801q3h
2018,28,1,28,0,-39.8,627.5,3.7,254,56,NA,ag4201801q3h
2018,28,1,28,300,-37.8,627.6,4.2,249,57,NA,ag4201801q3h
2018,28,1,28,600,-35.8,627.7,4.3,236,56,NA,ag4201801q3h
2018,28,1,28,900,-35,627.9,3.2,255,58.7,NA,ag4201801q3h
2018,28,1,28,1200,-36.2,627.4,2.3,287,57,NA,ag4201801q3h
2018,28,1,28,1500,-39.4,626.6,3.4,283,59,NA,ag4201801q3h
2018,28,1,28,1800,-41.9,626.3,3.5,270,59,NA,ag4201801q3h
2018,28,1,28,2100,-43,625.9,4.1,273,58,NA,ag4201801q3h
2018,29,1,29,0,-41.6,625.8,3.7,272,57,NA,ag4201801q3h
2018,29,1,29,300,-39,625.1,3.3,279,57,NA,ag4201801q3h
2018,29,1,29,600,-36.2,624.5,3.4,293,57,NA,ag4201801q3h
2018,29,1,29,900,-35,623.9,3.6,285,56,NA,ag4201801q3h
2018,29,1,29,1200,-35.7,623.4,3.3,279,56.2,NA,ag4201801q3h
2018,29,1,29,1500,-39.3,622.7,3.5,278,58,NA,ag4201801q3h
2018,29,1,29,1800,-41.5,622.3,3.9,274,59,NA,ag4201801q3h
2018,29,1,29,2100,-41.3,622.5,4.1,269,58,NA,ag4201801q3h
2018,30,1,30,0,-38.5,622.3,5.7,262,57,NA,ag4201801q3h
2018,30,1,30,300,-37.1,622.3,5.4,261,57.3,NA,ag4201801q3h
2018,30,1,30,600,-35.3,622.6,5.7,256,57,NA,ag4201801q3h
2018,30,1,30,900,-34.4,622.7,5.5,257,61,NA,ag4201801q3h
2018,30,1,30,1200,-35.2,623.2,4.5,262,57.2,NA,ag4201801q3h
2018,30,1,30,1500,-37.7,623.3,4.1,265,59,NA,ag4201801q3h
2018,30,1,30,1800,-40.1,623.6,4.5,261,59,NA,ag4201801q3h
2018,30,1,30,2100,-41.7,624,4,272,58,NA,ag4201801q3h
2018,31,1,31,0,-40.8,624.3,4,270,56,NA,ag4201801q3h
2018,31,1,31,300,-38.2,624.3,4,265,55.8,NA,ag4201801q3h
2018,31,1,31,600,-36,624.4,4.4,270,55.7,NA,ag4201801q3h
2018,31,1,31,900,-34.8,624.3,3.1,273,55.3,NA,ag4201801q3h
2018,31,1,31,1200,-36,624,3,290,56,NA,ag4201801q3h
2018,31,1,31,1500,-38.5,623.6,3.7,288,59,NA,ag4201801q3h
2018,31,1,31,1800,-40.6,623.3,3.6,283,59,NA,ag4201801q3h
2018,31,1,31,2100,-41.8,623.2,3.9,284,57,NA,ag4201801q3h
2018,32,2,1,0,-41.2,623.2,4.3,274,55.3,NA,ag4201802q3h
2018,32,2,1,300,-39.4,622.7,5.2,269,54,NA,ag4201802q3h
2018,32,2,1,600,-37.5,622.6,5,268,55,NA,ag4201802q3h
2018,32,2,1,900,-36.3,622.6,4.3,266,54,NA,ag4201802q3h
2018,32,2,1,1200,-37.5,622.6,3,278,54.7,NA,ag4201802q3h
2018,32,2,1,1500,-40.5,622.4,3.6,283,56,NA,ag4201802q3h
2018,32,2,1,1800,-43.2,622.5,3.9,277,58,NA,ag4201802q3h
2018,32,2,1,2100,-44.3,622.6,3.8,277,57,NA,ag4201802q3h
2018,33,2,2,0,-42.8,622.6,4.1,272,55,NA,ag4201802q3h
2018,33,2,2,300,-40,622.6,4.5,263,55,NA,ag4201802q3h
2018,33,2,2,600,-37.8,622.7,4.8,265,55,NA,ag4201802q3h
2018,33,2,2,900,-36.4,622.8,4.3,267,56,NA,ag4201802q3h
2018,33,2,2,1200,-37.7,622.6,3.8,277,55,NA,ag4201802q3h
2018,33,2,2,1500,-40.8,622.5,3.7,280,57,NA,ag4201802q3h
2018,33,2,2,1800,-42.4,622.4,4,276,58,NA,ag4201802q3h
2018,33,2,2,2100,-43,622.7,4.4,271,57.8,NA,ag4201802q3h
2018,34,2,3,0,-41.9,622.6,5.2,270,55,NA,ag4201802q3h
2018,34,2,3,300,-39.5,622.8,5.8,271,55,NA,ag4201802q3h
2018,34,2,3,600,-37.5,623.3,5.6,270,54.6,NA,ag4201802q3h
2018,34,2,3,900,-36.4,623.6,5.3,321,55,NA,ag4201802q3h
2018,34,2,3,1200,-37.1,623.8,4.5,282,57,NA,ag4201802q3h
2018,34,2,3,1500,-39.6,624,4.3,285,58,NA,ag4201802q3h
2018,34,2,3,1800,-42.1,624.1,4.5,288,57.2,NA,ag4201802q3h
2018,34,2,3,2100,-42,624.7,5.5,279,56,NA,ag4201802q3h
2018,35,2,4,0,-40.8,625.1,5.5,273,55,NA,ag4201802q3h
2018,35,2,4,300,-38.8,625.4,6.1,273,54,NA,ag4201802q3h
2018,35,2,4,600,-36.1,625.8,6.8,274,58,NA,ag4201802q3h
2018,35,2,4,900,-34.8,626.4,7.4,271,55.1,NA,ag4201802q3h
2018,35,2,4,1200,-36,627,6.1,267,55.9,NA,ag4201802q3h
2018,35,2,4,1500,-38,627.6,5.8,270,58,NA,ag4201802q3h
2018,35,2,4,1800,-39.5,628,6.8,273,58,NA,ag4201802q3h
2018,35,2,4,2100,-39.3,628.2,6.1,268,58.1,NA,ag4201802q3h
2018,36,2,5,0,-37.6,628.2,7.1,257,56,NA,ag4201802q3h
2018,36,2,5,300,-34.9,628.1,8.8,255,58,NA,ag4201802q3h
2018,36,2,5,600,-32.6,628.3,9.6,248,64,NA,ag4201802q3h
2018,36,2,5,900,-31.2,628.9,7.3,247,60,NA,ag4201802q3h
2018,36,2,5,1200,-30.2,629.4,6.3,247,64.7,NA,ag4201802q3h
2018,36,2,5,1500,-29.3,629.4,6.3,251,70,NA,ag4201802q3h
2018,36,2,5,1800,-28.9,629.2,7.3,249,67.5,NA,ag4201802q3h
2018,36,2,5,2100,-31.6,628.6,7,258,63,NA,ag4201802q3h
2018,37,2,6,0,-29.9,628.1,7.2,251,63.8,NA,ag4201802q3h
2018,37,2,6,300,-28.7,627.5,9.1,249,64.4,NA,ag4201802q3h
2018,37,2,6,600,-27.2,627,10.5,236,64.2,NA,ag4201802q3h
2018,37,2,6,900,-25.8,626.9,8.1,235,67,NA,ag4201802q3h
2018,37,2,6,1200,-24.7,627,9,222,69,NA,ag4201802q3h
2018,37,2,6,1500,-25.3,627.2,9.6,221,73,NA,ag4201802q3h
2018,37,2,6,1800,-29,627.5,5.2,240,66,NA,ag4201802q3h
2018,37,2,6,2100,-31,627.5,6.2,248,64,NA,ag4201802q3h
2018,38,2,7,0,-31.5,627.4,6.8,249,64,NA,ag4201802q3h
2018,38,2,7,300,-31.7,627,7.6,246,62,NA,ag4201802q3h
2018,38,2,7,600,-30.5,626.7,7.4,240,61,NA,ag4201802q3h
2018,38,2,7,900,-30.1,626.2,7.4,246,62,NA,ag4201802q3h
2018,38,2,7,1200,-29.5,625.8,7.6,236,66,NA,ag4201802q3h
2018,38,2,7,1500,-33.8,625,5.4,262,64,NA,ag4201802q3h
2018,38,2,7,1800,-36.8,624.5,5.7,262,63,NA,ag4201802q3h
2018,38,2,7,2100,-38.5,624,5.3,262,61.2,NA,ag4201802q3h
2018,39,2,8,0,-39.1,623.1,4.4,269,58,NA,ag4201802q3h
2018,39,2,8,300,-37.8,621.6,4,288,58,NA,ag4201802q3h
2018,39,2,8,600,-35,620.1,6.3,281,58,NA,ag4201802q3h
2018,39,2,8,900,-32.7,618.7,5.2,279,59.5,NA,ag4201802q3h
2018,39,2,8,1200,-33.2,617.5,5.5,270,58,NA,ag4201802q3h
2018,39,2,8,1500,-35.3,616.4,6.4,261,63,NA,ag4201802q3h
2018,39,2,8,1800,-37.4,616,5.8,263,62,NA,ag4201802q3h
2018,39,2,8,2100,-37.8,615.5,6.3,257,61,NA,ag4201802q3h
2018,40,2,9,0,-37.5,615.1,6.9,252,61,NA,ag4201802q3h
2018,40,2,9,300,-36,614.8,6.8,248,59.2,NA,ag4201802q3h
2018,40,2,9,600,-34.7,614.4,6.8,241,59,NA,ag4201802q3h
2018,40,2,9,900,-34.2,614.2,7.2,244,58,NA,ag4201802q3h
2018,40,2,9,1200,-35,614.2,5.6,244,59,NA,ag4201802q3h
2018,40,2,9,1500,-37.6,613.8,5.2,248,62,NA,ag4201802q3h
2018,40,2,9,1800,-40.2,613.5,5,249,60,NA,ag4201802q3h
2018,40,2,9,2100,-40.9,613.6,5,243,58,NA,ag4201802q3h
2018,41,2,10,0,-40.6,613.7,5.3,244,60,NA,ag4201802q3h
2018,41,2,10,300,-38.3,613.5,6.1,235,57.7,NA,ag4201802q3h
2018,41,2,10,600,-36.7,613.6,6.9,221,58.3,NA,ag4201802q3h
2018,41,2,10,900,-36.4,613.9,6.3,223,57,NA,ag4201802q3h
2018,41,2,10,1200,-37.3,614.3,5.9,215,57,NA,ag4201802q3h
2018,41,2,10,1500,-39.7,614.6,4.8,232,62,NA,ag4201802q3h
2018,41,2,10,1800,-42.8,615.1,4.1,236,60.6,NA,ag4201802q3h
2018,41,2,10,2100,-44.1,615.9,4,235,59,NA,ag4201802q3h
2018,42,2,11,0,-43.5,617,4.1,223,55,NA,ag4201802q3h
2018,42,2,11,300,-40.5,618.1,2.9,230,54,NA,ag4201802q3h
2018,42,2,11,600,-38.4,619.1,3.2,241,54,NA,ag4201802q3h
2018,42,2,11,900,-38.7,620.1,2.5,255,54,NA,ag4201802q3h
2018,42,2,11,1200,-40.3,621,2.6,287,55,NA,ag4201802q3h
2018,42,2,11,1500,-43.6,621.3,3,290,58,NA,ag4201802q3h
2018,42,2,11,1800,-46.2,621.5,3.8,288,58,NA,ag4201802q3h
2018,42,2,11,2100,-47.4,621.6,4.3,288,56,NA,ag4201802q3h
2018,43,2,12,0,-45.1,621.6,4,276,56,NA,ag4201802q3h
2018,43,2,12,300,-42.9,621.1,4.8,280,56.5,NA,ag4201802q3h
2018,43,2,12,600,-40.8,620.4,5.6,285,57,NA,ag4201802q3h
2018,43,2,12,900,-40.2,619.8,4.6,286,56.5,NA,ag4201802q3h
2018,43,2,12,1200,-41.6,619.2,4.8,287,55,NA,ag4201802q3h
2018,43,2,12,1500,-43.6,618.3,4.5,273,57,NA,ag4201802q3h
2018,43,2,12,1800,-46.6,617.4,4.2,263,59,NA,ag4201802q3h
2018,43,2,12,2100,-46.8,617,4.7,273,56,NA,ag4201802q3h
