Station,Date,Year,Month,Day_Night,Krill_per_1m2,Krill_per_1m2_log
aml1990feb26,1990-02-24,1990,2,NA,5.92,0.8401060944567578
aml1990feb27,1990-02-24,1990,2,NA,2.96,0.5976951859255123
aml1990feb28,1990-02-24,1990,2,NA,0,0
aml1990feb29,1990-02-24,1990,2,NA,0,0
aml1990feb3,1990-02-10,1990,2,NA,7.87,0.9479236198317265
aml1990feb30,1990-02-24,1990,2,NA,0,0
aml1990feb31,1990-02-24,1990,2,NA,41.437,1.627744674722776
aml1990feb32,1990-02-24,1990,2,NA,0,0
aml1990feb33,1990-02-24,1990,2,NA,0,0
aml1990feb34,1990-02-24,1990,2,NA,0,0
aml1990feb35,1990-02-24,1990,2,NA,0,0
aml1990feb36,1990-02-24,1990,2,NA,0,0
aml1990feb37,1990-02-24,1990,2,NA,0,0
aml1990feb4,1990-02-10,1990,2,NA,0,0
aml1990feb5,1990-02-10,1990,2,NA,1.292,0.3602146132953523
aml1990feb6,1990-02-10,1990,2,NA,1.292,0.3602146132953523
aml1990feb7,1990-02-10,1990,2,NA,0,0
aml1990feb8,1990-02-10,1990,2,NA,2.584,0.5543680009900875
aml1990feb9,1990-02-10,1990,2,NA,2.623,0.5590683340345368
aml1990jan1,1990-01-08,1990,1,NA,0,0
aml1990jan10,1990-01-08,1990,1,NA,0,0
aml1990jan11,1990-01-08,1990,1,NA,0,0
aml1990jan12,1990-01-08,1990,1,NA,0,0
aml1990jan13,1990-01-08,1990,1,NA,0,0
aml1990jan14,1990-01-08,1990,1,NA,2.252,0.5121505369220305
aml1990jan15,1990-01-08,1990,1,NA,2.281,0.5160062303860478
aml1990jan16,1990-01-08,1990,1,NA,6.931,0.8993279498776541
aml1990jan17,1990-01-08,1990,1,NA,0,0
aml1990jan18,1990-01-08,1990,1,NA,9.125,1.0053950318867062
aml1990jan19,1990-01-08,1990,1,NA,15.764,1.2243776521618068
aml1990jan2,1990-01-08,1990,1,NA,11.406,1.0936317768289476
aml1990jan20,1990-01-24,1990,1,NA,0,0
aml1990jan21,1990-01-24,1990,1,NA,0,0
aml1990jan22,1990-01-24,1990,1,NA,35.094,1.557435013998147
aml1990jan23,1990-01-24,1990,1,NA,0,0
aml1990jan24,1990-01-24,1990,1,NA,0,0
aml1990jan25,1990-01-24,1990,1,NA,0,0
aml1990jan26,1990-01-24,1990,1,NA,14.233,1.1827854420846833
aml1990jan27,1990-01-24,1990,1,NA,0,0
aml1990jan28,1990-01-24,1990,1,NA,0,0
aml1990jan29,1990-01-24,1990,1,NA,0,0
aml1990jan3,1990-01-08,1990,1,NA,6.931,0.8993279498776541
aml1990jan30,1990-01-24,1990,1,NA,0,0
aml1990jan31,1990-01-24,1990,1,NA,49.814,1.7059833832502254
aml1990jan32,1990-01-24,1990,1,NA,0,0
aml1990jan33,1990-01-24,1990,1,NA,7.116,0.9093420383613083
aml1990jan34,1990-01-24,1990,1,NA,0,0
aml1990jan35,1990-01-24,1990,1,NA,0,0
aml1990jan36,1990-01-24,1990,1,NA,0,0
aml1990jan37,1990-01-24,1990,1,NA,4.809,0.7641013764762288
aml1990jan4,1990-01-08,1990,1,NA,0,0
aml1990jan5,1990-01-08,1990,1,NA,2.281,0.5160062303860478
aml1990jan6,1990-01-08,1990,1,NA,0,0
aml1990jan7,1990-01-08,1990,1,NA,0,0
aml1990jan8,1990-01-08,1990,1,NA,0,0
aml1990jan9,1990-01-08,1990,1,NA,0,0
aml1991jan1,1991-01-21,1991,1,day,50.593,1.7125907817125274
aml1991jan10,1991-01-23,1991,1,day,4.465,0.7375901662857216
aml1991jan11,1991-01-23,1991,1,day,0.645,0.2161659022859931
aml1991jan12,1991-01-23,1991,1,day,0.32,0.1205739312058499
aml1991jan13,1991-01-23,1991,1,day,1.601,0.41514035219587275
aml1991jan14,1991-01-24,1991,1,night,0,0
aml1991jan15,1991-01-24,1991,1,day,0,0
aml1991jan16,1991-01-24,1991,1,day,4.159,0.7125655278733083
aml1991jan17,1991-01-24,1991,1,day,2.271,0.5146805441249817
aml1991jan18,1991-01-24,1991,1,night,4.047,0.7030333047336859
aml1991jan19,1991-01-24,1991,1,night,0.143,0.05804623039528174
aml1991jan2,1991-01-21,1991,1,day,27.08,1.4483971034577676
aml1991jan20,1991-01-26,1991,1,day,0.327,0.1228709228644355
aml1991jan21,1991-01-26,1991,1,day,0,0
aml1991jan22,1991-01-26,1991,1,day,0.662,0.22063101944809219
aml1991jan24,1991-01-27,1991,1,night,0,0
aml1991jan25,1991-01-27,1991,1,day,0,0
aml1991jan26,1991-01-27,1991,1,day,0,0
aml1991jan27,1991-01-27,1991,1,day,7.873,0.9480704815189411
aml1991jan28,1991-01-27,1991,1,night,1.34,0.36921585741014284
aml1991jan29,1991-01-28,1991,1,night,1.503,0.39846084960822326
aml1991jan3,1991-01-21,1991,1,day,18.527,1.2906355262615457
aml1991jan30,1991-01-28,1991,1,day,3.387,0.6421676344049452
aml1991jan31,1991-01-28,1991,1,day,0.678,0.22479195649268144
aml1991jan32,1991-01-28,1991,1,day,0,0
aml1991jan33,1991-01-28,1991,1,night,0.301,0.11427729656158624
aml1991jan34,1991-01-29,1991,1,night,11.467,1.0957619594775003
aml1991jan35,1991-01-29,1991,1,night,3.166,0.6197192656117271
aml1991jan36,1991-01-29,1991,1,day,1.361,0.37309598707872693
aml1991jan37,1991-01-29,1991,1,day,0,0
aml1991jan38,1991-01-29,1991,1,night,1.064,0.31470969295517376
aml1991jan39,1991-01-30,1991,1,night,0.306,0.11594317693905512
aml1991jan4,1991-01-21,1991,1,night,3.893,0.6895752157599382
aml1991jan40,1991-01-30,1991,1,day,7.59,0.9339931638312423
aml1991jan41,1991-01-30,1991,1,day,8.276,0.9673607399659497
aml1991jan42,1991-01-30,1991,1,night,3.214,0.6246945312720814
aml1991jan43,1991-01-31,1991,1,night,0,0
aml1991jan44,1991-01-31,1991,1,day,4.185,0.7147487607250598
aml1991jan45,1991-01-31,1991,1,day,0,0
aml1991jan46,1991-01-31,1991,1,day,0,0
aml1991jan47,1991-02-01,1991,2,NA,0,0
aml1991jan48,1991-02-01,1991,2,night,11.765,1.1060208191402692
aml1991jan49,1991-02-01,1991,2,day,28.796,1.474157965602189
aml1991jan5,1991-01-22,1991,1,night,0.282,0.10788802518279862
aml1991jan50,1991-02-01,1991,2,day,0,0
aml1991jan6,1991-01-22,1991,1,day,0,0
aml1991jan7,1991-01-22,1991,1,day,1.917,0.4649364291217326
aml1991jan8,1991-01-22,1991,1,day,3.198,0.6230424342463817
aml1991jan9,1991-01-23,1991,1,night,0,0
aml1992feb001,1992-03-14,1992,3,night,2.774,0.5768018958289125
aml1992feb002,1992-03-14,1992,3,day,3.815,0.6825962914605532
aml1992feb003,1992-03-14,1992,3,day,0.552,0.19089171692216964
aml1992feb004,1992-03-14,1992,3,day,5.523,0.8144473785224876
aml1992feb005,1992-03-14,1992,3,day,13.472,1.1605285538517573
aml1992feb009,1992-03-14,1992,3,night,87.48,1.946845113960623
aml1992feb010,1992-03-14,1992,3,day,1.763,0.44138088491651134
aml1992feb011,1992-03-14,1992,3,day,0,0
aml1992feb012,1992-03-14,1992,3,day,0.938,0.2873537727147465
aml1992feb013,1992-03-14,1992,3,day,3.731,0.6749529480485653
aml1992feb014,1992-03-14,1992,3,night,1.74,0.437750562820388
aml1992feb015,1992-03-14,1992,3,night,6.543,0.877544107715944
aml1992feb017,1992-03-14,1992,3,day,6.115,0.8521749044203031
aml1992feb018,1992-03-14,1992,3,day,2.464,0.5395778833453091
aml1992feb019,1992-03-14,1992,3,day,0.547,0.18949031369936756
aml1992feb020,1992-03-14,1992,3,day,0,0
aml1992feb021,1992-03-14,1992,3,night,0.632,0.21272015441784237
aml1992feb022,1992-03-14,1992,3,night,3.75,0.6766936096248666
aml1992feb023,1992-03-14,1992,3,night,148.411,2.1743825724689425
aml1992feb024,1992-03-14,1992,3,day,14.479,1.1897429002415696
aml1992feb025,1992-03-14,1992,3,day,0,0
aml1992feb026,1992-03-14,1992,3,day,0,0
aml1992feb027,1992-03-14,1992,3,day,0.354,0.13161866434912553
aml1992feb028,1992-03-14,1992,3,day,13.397,1.1582720046520838
aml1992feb029,1992-03-14,1992,3,night,56.047,1.756232810582397
aml1992feb030,1992-03-14,1992,3,night,23.746,1.3935050085899612
aml1992feb031,1992-03-14,1992,3,night,39.317,1.6054882086577447
aml1992feb032,1992-03-14,1992,3,day,4.949,0.7744439689249651
aml1992feb033,1992-03-14,1992,3,day,8.945,0.9976047874604543
aml1992feb034,1992-03-14,1992,3,day,3.625,0.6651117370750514
aml1992feb035,1992-03-14,1992,3,day,1.722,0.4348881208673159
aml1992feb036,1992-03-14,1992,3,night,29.855,1.4893255507504053
aml1992feb037,1992-03-14,1992,3,night,1.016,0.3044905277734877
aml1992feb038,1992-03-14,1992,3,night,42.489,1.6383794214736822
aml1992feb039,1992-03-14,1992,3,day,0,0
aml1992feb040,1992-03-14,1992,3,day,1.199,0.34222522936079036
aml1992feb041,1992-03-14,1992,3,day,1.485,0.39532639306935097
aml1992feb042,1992-03-14,1992,3,day,0.761,0.24575935596727694
aml1992feb043,1992-03-14,1992,3,day,6.92,0.8987251815894934
aml1992feb044,1992-03-14,1992,3,night,2.769,0.5762261374496049
aml1992feb045,1992-03-14,1992,3,night,2.579,0.5537616983900043
aml1992feb046,1992-03-14,1992,3,day,7.032,0.9048236998009441
aml1992feb047,1992-03-14,1992,3,day,0.553,0.19117145572855848
aml1992feb048,1992-03-14,1992,3,day,11.568,1.0992661720319168
aml1992feb049,1992-03-14,1992,3,day,19.519,1.312156191475623
aml1992feb050,1992-03-14,1992,3,night,4.214,0.7171710268323102
aml1992feb051,1992-03-14,1992,3,night,25.901,1.4297684244786055
aml1992feb052,1992-03-14,1992,3,night,3.733,0.6751365044679941
aml1992feb053,1992-03-14,1992,3,day,2.487,0.5424519473759766
aml1992feb054,1992-03-14,1992,3,day,0,0
aml1992feb055,1992-03-14,1992,3,day,1.02,0.3053513694466238
aml1992feb056,1992-03-14,1992,3,day,0.542,0.1880843737149382
aml1992feb057,1992-03-14,1992,3,night,9.101,1.004364371107751
aml1992feb058,1992-03-14,1992,3,night,31.983,1.5182901547709444
aml1992feb059,1992-03-14,1992,3,night,16.123,1.2335798566790162
aml1992feb060,1992-03-14,1992,3,day,1.507,0.3991543339582164
aml1992feb061,1992-03-14,1992,3,day,64.356,1.8152854641013634
aml1992feb062,1992-03-14,1992,3,day,11.311,1.0902933313101102
aml1992feb063,1992-03-14,1992,3,day,0.339,0.12678057701200898
aml1992feb064,1992-03-14,1992,3,night,2.03,0.48144262850230496
aml1992feb065,1992-03-14,1992,3,night,8.622,0.9832653525665453
aml1992feb066,1992-03-14,1992,3,night,75.917,1.8860223370738056
aml1992feb067,1992-03-14,1992,3,day,0.307,0.11627558758054428
aml1992feb068,1992-03-14,1992,3,day,0,0
aml1992feb069,1992-03-14,1992,3,day,3.559,0.6588695922019623
aml1992feb070,1992-03-14,1992,3,day,0.456,0.16316137497701835
aml1992feb071,1992-03-14,1992,3,night,73.25,1.87069645798925
aml1992jan001,1992-01-15,1992,1,day,1.24,0.35024801833416286
aml1992jan002,1992-01-15,1992,1,day,1.074,0.3168087520530221
aml1992jan003,1992-01-15,1992,1,day,1.317,0.3649260337899756
aml1992jan004,1992-01-15,1992,1,night,0.2,0.07918124604762482
aml1992jan005,1992-01-15,1992,1,night,0.724,0.236537261488694
aml1992jan006,1992-01-15,1992,1,day,9.098,1.0042353663594674
aml1992jan007,1992-01-15,1992,1,day,4.169,0.7134065321676909
aml1992jan008,1992-01-15,1992,1,day,5.697,0.8258802989361795
aml1992jan009,1992-01-15,1992,1,day,4.643,0.7515100502700414
aml1992jan010,1992-01-15,1992,1,night,0.301,0.11427729656158624
aml1992jan011,1992-01-15,1992,1,night,26.495,1.439253724017898
aml1992jan012,1992-01-15,1992,1,day,0.906,0.28012289630230763
aml1992jan013,1992-01-15,1992,1,day,1.009,0.30297993674824913
aml1992jan014,1992-01-15,1992,1,day,2.853,0.585799009013001
aml1992jan015,1992-01-15,1992,1,day,1.839,0.4531653925258572
aml1992jan016,1992-01-15,1992,1,day,2.727,0.5713593927538396
aml1992jan017,1992-01-15,1992,1,day,0.518,0.18127177155946156
aml1992jan018,1992-01-15,1992,1,day,7.069,0.9068197154665454
aml1992jan019,1992-01-15,1992,1,day,3.298,0.6332664111554245
aml1992jan020,1992-01-15,1992,1,day,16.321,1.238572961696629
aml1992jan021,1992-01-15,1992,1,day,5.892,0.8383452687759909
aml1992jan022,1992-01-15,1992,1,day,3.149,0.6179434348289731
aml1992jan023,1992-01-15,1992,1,day,64.782,1.8181070733995945
aml1992jan024,1992-01-15,1992,1,night,0.096,0.039810554148350386
aml1992jan025,1992-01-15,1992,1,day,0,0
aml1992jan026,1992-01-15,1992,1,day,0,0
aml1992jan027,1992-01-15,1992,1,day,0,0
aml1992jan028,1992-01-15,1992,1,day,1.571,0.4101020766428606
aml1992jan029,1992-01-15,1992,1,day,8.034,0.9558800862253755
aml1992jan030,1992-01-15,1992,1,day,0.861,0.269746373130767
aml1992jan031,1992-01-15,1992,1,night,1.573,0.41043978621034655
aml1992jan032,1992-01-15,1992,1,day,6.705,0.8867726430544381
aml1992jan033,1992-01-15,1992,1,day,0.686,0.2268575702887235
aml1992jan034,1992-01-15,1992,1,day,6.233,0.8593184650971161
aml1992jan035,1992-01-15,1992,1,day,2.286,0.5166675590990429
aml1992jan036,1992-01-15,1992,1,day,3.191,0.6223176608338443
aml1992jan037,1992-01-15,1992,1,night,0.353,0.13129779659762297
aml1992jan038,1992-01-15,1992,1,night,2.159,0.49954962590514895
aml1992jan039,1992-01-15,1992,1,day,0,0
aml1992jan040,1992-01-15,1992,1,day,0,0
aml1992jan042,1992-01-15,1992,1,day,0,0
aml1992jan043,1992-01-15,1992,1,night,0.04,0.01703333929878037
aml1992jan044,1992-01-15,1992,1,day,0,0
aml1992jan045,1992-01-15,1992,1,day,11.306,1.09011691075201
aml1992jan046,1992-01-15,1992,1,day,0.444,0.15956719323362029
aml1992jan047,1992-01-15,1992,1,day,0.425,0.15381486434452904
aml1992jan048,1992-01-15,1992,1,day,2.312,0.5200903281128425
aml1992jan049,1992-01-15,1992,1,day,8.89,0.9951962915971794
aml1992jan050,1992-01-15,1992,1,day,4.863,0.7681198941847973
aml1992jan051,1992-01-15,1992,1,day,5.086,0.7843319480221483
aml1992jan052,1992-01-15,1992,1,night,11.3,1.089905111439398
aml1992jan053,1992-01-15,1992,1,night,98.317,1.9970235926472955
aml1992jan054,1992-01-15,1992,1,day,0,0
aml1992jan055,1992-01-15,1992,1,day,0.223,0.08742645703628549
aml1992jan056,1992-01-15,1992,1,day,0.277,0.10619089726341532
aml1992jan057,1992-01-15,1992,1,day,0.302,0.11461098423217315
aml1992jan058,1992-01-15,1992,1,day,0,0
aml1992jan059,1992-01-15,1992,1,day,4.214,0.7171710268323102
aml1992jan060,1992-01-15,1992,1,day,9.889,1.0369879978069059
aml1992jan061,1992-01-15,1992,1,day,0.699,0.23019337886904556
aml1992jan062,1992-01-15,1992,1,day,18.727,1.295061044577623
aml1992jan063,1992-01-15,1992,1,day,5.905,0.8391636829146502
aml1992jan064,1992-01-15,1992,1,day,0.685,0.22659990520735743
aml1992xst001,1992-02-14,1992,2,night,8.616,0.9829944546586643
aml1992xst002,1992-02-14,1992,2,night,25.162,1.4176709413251103
aml1992xst003,1992-02-14,1992,2,day,0.17,0.06818586174616162
aml1992xst004,1992-02-14,1992,2,day,0.358,0.1328997699444829
aml1992xst005,1992-02-14,1992,2,day,4.175,0.7139103541289553
aml1992xst006,1992-02-14,1992,2,day,53.042,1.732731413127401
aml1992xst007,1992-02-14,1992,2,day,20.008,1.3223847087454041
aml1992xst009,1992-02-14,1992,2,day,37.139,1.5813693017101067
aml1992xst010,1992-02-14,1992,2,night,0.234,0.09131515969722287
aml1992xst011,1992-02-14,1992,2,night,7.75,0.9420080530223133
aml1992xst012,1992-02-14,1992,2,night,37.628,1.5869022227332383
aml1992xst013,1992-02-14,1992,2,day,0.749,0.24278980947867654
aml1992xst014,1992-02-14,1992,2,day,3.41,0.6444385894678386
aml1992xst015,1992-02-14,1992,2,day,1.868,0.4575791469957625
aml1992xst016,1992-02-14,1992,2,day,2.38,0.5289167002776547
aml1992xst029,1992-02-14,1992,2,night,1.794,0.4462264017781631
aml1992xst030,1992-03-14,1992,3,day,0.73,0.23804610312879543
aml1992xst031,1992-03-14,1992,3,day,2.862,0.58681226944337594
aml1992xst032,1992-03-14,1992,3,day,5.237,0.7949757440511316
aml1992xst033,1992-03-14,1992,3,day,20.586,1.3341721727246059
aml1992xst034,1992-03-14,1992,3,night,107.296,2.034612415905013
aml1992xst035,1992-03-14,1992,3,night,2.696,0.5677319625480691
aml1992xst036,1992-03-14,1992,3,night,1.627,0.4194600727860702
aml1992xst037,1992-03-14,1992,3,day,49.796,1.7058295145216351
aml1992xst038,1992-03-14,1992,3,day,11.261,1.088525892431256
aml1992xst039,1992-03-14,1992,3,day,40.83,1.6214878645806303
aml1992xst040,1992-03-14,1992,3,night,3.575,0.6603910984024671
aml1992xst041,1992-03-14,1992,3,night,15.048,1.205420915676343
aml1992xst042,1992-03-14,1992,3,night,1.844,0.45392959205772876
aml1992xst044,1992-03-14,1992,3,day,1.891,0.46104809167065786
aml1993feb1,1993-03-06,1993,3,night,2.482,0.5418287667813124
aml1993feb13,1993-03-04,1993,3,day,0.081,0.03382569395331033
aml1993feb14,1993-03-04,1993,3,day,0,0
aml1993feb17,1993-03-03,1993,3,day,0,0
aml1993feb19,1993-03-03,1993,3,day,38.507,1.5966740523867795
aml1993feb2,1993-03-05,1993,3,night,123.597,2.095507585668811
aml1993feb20,1993-03-03,1993,3,day,0.306,0.11594317693905512
aml1993feb21,1993-03-03,1993,3,day,49.556,1.7037727051744727
aml1993feb24,1993-03-02,1993,3,night,5.503,0.8131137540078986
aml1993feb25,1993-03-02,1993,3,day,0.658,0.2195845262142547
aml1993feb26,1993-03-02,1993,3,day,0.867,0.2711443179490783
aml1993feb27,1993-03-02,1993,3,day,10.272,1.0520009801013
aml1993feb28,1993-03-02,1993,3,day,0.489,0.1728946977521761
aml1993feb29,1993-03-02,1993,3,night,0.079,0.033021444682910656
aml1993feb3,1993-03-05,1993,3,night,0,0
aml1993feb30,1993-03-02,1993,3,night,2.807,0.5805828768143673
aml1993feb31,1993-03-01,1993,3,day,0.138,0.05614226205905233
aml1993feb32,1993-03-01,1993,3,day,0.27,0.10380372095595687
aml1993feb33,1993-03-01,1993,3,day,0,0
aml1993feb34,1993-03-01,1993,3,day,0.165,0.0663259253620378
aml1993feb35,1993-03-01,1993,3,day,0.165,0.0663259253620378
aml1993feb36,1993-03-01,1993,3,night,10.417,1.0575520010545327
aml1993feb37,1993-02-28,1993,2,night,35.25,1.5593080109070125
aml1993feb38,1993-02-28,1993,2,night,3.516,0.6547539332529303
aml1993feb39,1993-02-28,1993,2,day,0.107,0.0441476208787228
aml1993feb4,1993-03-05,1993,3,day,0.105,0.04336227802112949
aml1993feb40,1993-02-28,1993,2,day,0.229,0.08955188288645412
aml1993feb41,1993-02-28,1993,2,day,0.485,0.17172645365323114
aml1993feb42,1993-02-28,1993,2,day,4.088,0.7065471026403575
aml1993feb43,1993-02-28,1993,2,night,6.32,0.8645110810583918
aml1993feb44,1993-02-28,1993,2,night,18.715,1.294796781409242
aml1993feb45,1993-02-27,1993,2,night,5.157,0.7893691535914817
aml1993feb46,1993-02-27,1993,2,night,0.28,0.10720996964786837
aml1993feb47,1993-02-27,1993,2,day,15.323,1.212799980625567
aml1993feb48,1993-02-27,1993,2,day,14.035,1.1771034324365364
aml1993feb49,1993-02-27,1993,2,day,0,0
aml1993feb5,1993-03-05,1993,3,day,0,0
aml1993feb50,1993-02-27,1993,2,night,0.404,0.14736710779378645
aml1993feb51,1993-02-27,1993,2,night,82.152,1.9198726994787843
aml1993feb52,1993-02-27,1993,2,night,160.98,2.2094613946299875
aml1993feb53,1993-02-26,1993,2,day,0.963,0.29292029960000626
aml1993feb54,1993-02-26,1993,2,day,0.148,0.05994188806195468
aml1993feb55,1993-02-26,1993,2,day,0,0
aml1993feb56,1993-02-26,1993,2,day,1.256,0.35333909531130475
aml1993feb57,1993-02-26,1993,2,day,3.386,0.642068627341504
aml1993feb58,1993-02-26,1993,2,day,0,0
aml1993feb59,1993-02-26,1993,2,night,0.621,0.20978301484851494
aml1993feb6,1993-03-05,1993,3,day,0,0
aml1993feb60,1993-02-26,1993,2,night,94.528,1.9801306853344047
aml1993feb61,1993-02-25,1993,2,night,0,0
aml1993feb62,1993-02-25,1993,2,day,0.105,0.04336227802112949
aml1993feb63,1993-02-25,1993,2,day,1.943,0.46879026209961094
aml1993feb64,1993-02-25,1993,2,day,0.126,0.05153839051532738
aml1993feb65,1993-02-25,1993,2,day,0,0
aml1993feb66,1993-02-25,1993,2,night,1.557,0.4077307280263355
aml1993feb67,1993-02-25,1993,2,night,0.073,0.030599721965951062
aml1993feb68,1993-02-24,1993,2,night,13.534,1.1623851558572413
aml1993feb69,1993-02-24,1993,2,day,0.753,0.24378191609379496
aml1993feb7,1993-03-05,1993,3,day,0.098,0.04060234011407314
aml1993feb70,1993-02-24,1993,2,day,0.199,0.0788191830988487
aml1993feb71,1993-02-24,1993,2,day,10.062,1.0438336541331468
aml1993feb72,1993-02-24,1993,2,day,0.22,0.08635983067474821
aml1993feb73,1993-02-24,1993,2,day,14.391,1.1872668381792943
aml1993feb74,1993-02-24,1993,2,night,6.34,0.8656960599160706
aml1993feb75,1993-02-23,1993,2,night,1.769,0.4423229557455745
aml1993feb76,1993-02-23,1993,2,day,0,0
aml1993feb77,1993-02-23,1993,2,day,0.083,0.03462845662532034
aml1993feb78,1993-02-23,1993,2,day,2.452,0.538070787043172
aml1993feb79,1993-02-23,1993,2,day,0.898,0.27829620809127387
aml1993feb8,1993-03-05,1993,3,night,0.243,0.09447112864164472
aml1993feb80,1993-02-23,1993,2,day,33.127,1.53309811245941
aml1993feb81,1993-02-23,1993,2,night,29.11,1.4787107555127594
aml1993feb82,1993-02-22,1993,2,night,85.832,1.938679804235401
aml1993feb83,1993-02-22,1993,2,day,0,0
aml1993feb84,1993-02-22,1993,2,day,1.201,0.342620042553348
aml1993feb85,1993-02-22,1993,2,day,4.947,0.7742979384992774
aml1993feb86,1993-02-22,1993,2,day,18.82,1.2971036501492565
aml1993feb87,1993-02-22,1993,2,day,1.993,0.47610671684019146
aml1993feb88,1993-02-22,1993,2,night,9.589,1.0248549483050178
aml1993feb91,1993-02-21,1993,2,day,2.14,0.49692964807321494
aml1993febsalp,1993-02-27,1993,2,NA,NA,NA
aml1993jan1,1993-01-15,1993,1,day,2.044,0.4834446480985352
aml1993jan10,1993-01-16,1993,1,night,247.734,2.395735153999889
aml1993jan11,1993-01-17,1993,1,night,2.563,0.5518158223510157
aml1993jan12,1993-01-17,1993,1,day,9.96,1.0398105541483504
aml1993jan13,1993-01-17,1993,1,day,0,0
aml1993jan14,1993-01-17,1993,1,day,0.115,0.04727486738417948
aml1993jan15,1993-01-17,1993,1,day,2.955,0.5971464878336954
aml1993jan16,1993-01-17,1993,1,day,8.068,0.9575115114544798
aml1993jan17,1993-01-18,1993,1,night,4.454,0.736715133605611
aml1993jan18,1993-01-18,1993,1,day,31.394,1.5104645778548862
aml1993jan19,1993-01-18,1993,1,day,2.724,0.571009672309305
aml1993jan20,1993-01-18,1993,1,day,1.624,0.4189638307036227
aml1993jan21,1993-01-18,1993,1,day,11.237,1.087674960036757
aml1993jan22,1993-01-18,1993,1,day,1.798,0.4468477101558088
aml1993jan23,1993-01-18,1993,1,day,3.478,0.6510840892430114
aml1993jan24,1993-01-18,1993,1,night,0.046,0.01953168453125545
aml1993jan25,1993-01-19,1993,1,night,0.461,0.16465021593429677
aml1993jan26,1993-01-19,1993,1,day,5.568,0.8174331441113843
aml1993jan27,1993-01-19,1993,1,day,30.991,1.5050278158169634
aml1993jan28,1993-01-19,1993,1,day,5.764,0.8302035989257042
aml1993jan29,1993-01-19,1993,1,day,7.056,0.9061194575455617
aml1993jan3,1993-01-15,1993,1,night,0,0
aml1993jan30,1993-01-19,1993,1,day,8.316,0.9692294798626431
aml1993jan31,1993-01-19,1993,1,night,2.48,0.541579243946581
aml1993jan32,1993-01-20,1993,1,night,20.661,1.335678502356566
aml1993jan33,1993-01-20,1993,1,day,2.434,0.5358002908248977
aml1993jan34,1993-01-20,1993,1,day,0.344,0.12839926871780638
aml1993jan35a,1993-01-20,1993,1,day,34.224,1.5468386724514693
aml1993jan35b,1993-01-21,1993,1,day,16.342,1.239099181887367
aml1993jan36,1993-01-22,1993,1,night,40.074,1.6135669987712846
aml1993jan37,1993-01-22,1993,1,day,12.027,1.114844413145024
aml1993jan38,1993-01-22,1993,1,day,22.818,1.3769052909238142
aml1993jan39,1993-01-22,1993,1,day,1.513,0.40019248859257595
aml1993jan4,1993-01-16,1993,1,night,0.118,0.04844180355040444
aml1993jan40,1993-01-22,1993,1,night,3.432,0.6465997517203734
aml1993jan41,1993-01-23,1993,1,night,36.867,1.5782608996533165
