Date,Location,Sex,Weight_kg,Moult_score,Year,Month
2020-02-08,Beach,F,10.75,3,2020,Feb
2020-02-08,Beach,F,7.7,1,2020,Feb
2020-02-08,Beach,M,7.8,0,2020,Feb
2020-02-08,Beach,F,7.5,0,2020,Feb
2020-02-08,Beach,M,14.5,1,2020,Feb
2020-02-08,Beach,F,7.6,1,2020,Feb
2020-02-08,Beach,M,9.1,0,2020,Feb
2020-02-08,Beach,M,10.5,1,2020,Feb
2020-02-08,Beach,F,15,3,2020,Feb
2020-02-08,Beach,M,13.75,1,2020,Feb
2020-02-08,Beach,F,12.25,1,2020,Feb
2020-02-08,Beach,M,14.25,3,2020,Feb
2020-02-08,Beach,M,15.25,2,2020,Feb
2020-02-08,Beach,M,10.75,1,2020,Feb
2020-02-08,Beach,M,16,1,2020,Feb
2020-02-08,Tussock,F,13.25,2,2020,Feb
2020-02-08,Tussock,M,11.5,1,2020,Feb
2020-02-08,Tussock,M,14.4,1,2020,Feb
2020-02-08,Tussock,M,14.75,2,2020,Feb
2020-02-08,Tussock,M,12.5,1,2020,Feb
2020-02-08,Tussock,M,14,2,2020,Feb
2020-02-08,Tussock,M,11.25,2,2020,Feb
2020-02-08,Tussock,M,13.75,1,2020,Feb
2020-02-08,Tussock,M,9.4,0,2020,Feb
2020-02-08,Tussock,M,10.75,2,2020,Feb
2020-02-08,Tussock,M,15,1,2020,Feb
2020-02-08,Tussock,M,12.5,2,2020,Feb
2020-02-08,Tussock,M,14.25,1,2020,Feb
2020-02-08,Tussock,F,10.75,1,2020,Feb
2020-02-08,Tussock,M,8.75,2,2020,Feb
2020-02-08,Tussock,M,10.1,1,2020,Feb
2020-02-08,Tussock,M,12.25,1,2020,Feb
2020-02-08,Tussock,F,12.25,3,2020,Feb
2020-02-08,Tussock,F,14,1,2020,Feb
2020-02-08,Tussock,F,11.25,1,2020,Feb
2020-02-08,Tussock,M,10.5,1,2020,Feb
2020-02-08,Tussock,F,15,1,2020,Feb
2020-02-08,Tussock,F,11,0,2020,Feb
2020-02-08,Tussock,M,11.5,1,2020,Feb
2020-02-08,Tussock,F,10.5,0,2020,Feb
2020-02-08,Beach,M,10,1,2020,Feb
2020-02-08,Beach,M,11.2,0,2020,Feb
2020-02-08,Beach,F,9.8,2,2020,Feb
2020-02-08,Beach,M,15,2,2020,Feb
2020-02-08,Beach,M,14,1,2020,Feb
2020-02-08,Beach,M,14.5,2,2020,Feb
2020-02-08,Beach,F,11,0,2020,Feb
2020-02-08,Beach,M,10.8,0,2020,Feb
2020-02-08,Beach,M,10,0,2020,Feb
2020-01-08,Beach,M,9.2,0,2020,Jan
2020-01-08,Beach,M,7.4,0,2020,Jan
2020-01-08,Beach,F,10.8,0,2020,Jan
2020-01-08,Beach,M,10.4,0,2020,Jan
2020-01-08,Beach,M,4.5,0,2020,Jan
2020-01-08,Beach,M,6.1,0,2020,Jan
2020-01-08,Beach,F,8.3,0,2020,Jan
2020-01-08,Beach,F,8.2,0,2020,Jan
2020-01-08,Beach,M,7.9,0,2020,Jan
2020-01-08,Beach,M,11.9,0,2020,Jan
2020-01-08,Beach,F,8.2,0,2020,Jan
2020-01-08,Beach,M,9.1,0,2020,Jan
2020-01-08,Beach,F,5.8,0,2020,Jan
2020-01-08,Beach,M,8.3,0,2020,Jan
2020-01-08,Beach,M,6.7,0,2020,Jan
2020-01-08,Beach,M,7.4,0,2020,Jan
2020-01-08,Beach,F,4.4,0,2020,Jan
2020-01-08,Beach,F,7.9,0,2020,Jan
2020-01-08,Beach,M,7.1,0,2020,Jan
2020-01-08,Beach,F,9,0,2020,Jan
2020-01-08,Beach,M,8.9,0,2020,Jan
2020-01-08,Beach,F,6.9,0,2020,Jan
2020-01-08,Beach,M,12.5,0,2020,Jan
2020-01-08,Tussock,M,7.2,0,2020,Jan
2020-01-08,Tussock,M,9,0,2020,Jan
2020-01-08,Tussock,F,8.5,0,2020,Jan
2020-01-08,Tussock,M,10.5,1,2020,Jan
2020-01-08,Tussock,M,6.4,0,2020,Jan
2020-01-08,Tussock,M,9.3,0,2020,Jan
2020-01-08,Tussock,M,6.8,0,2020,Jan
2020-01-08,Tussock,F,7.5,0,2020,Jan
2020-01-08,Tussock,M,8.5,0,2020,Jan
2020-01-08,Tussock,F,9,0,2020,Jan
2020-01-08,Tussock,M,9,0,2020,Jan
2020-01-08,Tussock,M,11.1,1,2020,Jan
2020-01-08,Tussock,F,7.2,1,2020,Jan
2020-01-08,Tussock,M,11,1,2020,Jan
2020-01-08,Tussock,M,11,0,2020,Jan
2020-01-08,Tussock,M,11.8,0,2020,Jan
2020-01-08,Tussock,F,9.5,0,2020,Jan
2020-01-08,Tussock,M,11,1,2020,Jan
2020-01-08,Tussock,M,7.5,0,2020,Jan
2020-01-08,Tussock,F,7.8,1,2020,Jan
2020-01-08,Tussock,M,9,0,2020,Jan
2020-01-08,Tussock,F,7,0,2020,Jan
2020-01-08,Tussock,M,11.15,0,2020,Jan
2020-01-08,Tussock,M,7.8,0,2020,Jan
2020-01-08,Tussock,M,10.5,1,2020,Jan
2020-01-08,Tussock,F,6,0,2020,Jan
2020-01-08,Tussock,F,6.2,0,2020,Jan
2020-01-08,Tussock,F,9,0,2020,Jan
2020-01-08,Tussock,M,9,0,2020,Jan
2020-01-08,Tussock,F,8.5,0,2020,Jan
2020-01-08,Tussock,M,9.5,0,2020,Jan
2020-01-08,Tussock,F,8.5,0,2020,Jan
2020-01-08,Tussock,M,9.7,0,2020,Jan
2020-01-08,Tussock,F,9.4,0,2020,Jan
2020-01-08,Tussock,M,7.2,1,2020,Jan
2020-01-08,Tussock,M,9.5,0,2020,Jan
2020-01-08,Tussock,F,7.2,1,2020,Jan
2020-01-08,Tussock,F,6.8,1,2020,Jan
2020-01-08,Tussock,M,10.4,0,2020,Jan
2020-01-08,Tussock,M,8.9,1,2020,Jan
2020-01-08,Tussock,M,9.2,0,2020,Jan
2020-01-08,Tussock,M,9.2,0,2020,Jan
2020-01-08,Tussock,F,8,0,2020,Jan
2020-01-08,Tussock,M,12,0,2020,Jan
2020-01-08,Tussock,M,8.2,0,2020,Jan
2020-01-08,Tussock,M,13.2,1,2020,Jan
2020-01-08,Tussock,M,9.3,0,2020,Jan
2020-01-08,Tussock,M,8.7,0,2020,Jan
2020-01-08,Tussock,M,8.2,0,2020,Jan
2020-01-08,Tussock,M,11.4,0,2020,Jan
2020-01-08,Beach,F,9.7,0,2020,Jan
2020-01-08,Beach,F,9,0,2020,Jan
2020-01-08,Beach,M,12.5,0,2020,Jan
2020-01-08,Beach,M,9.5,0,2020,Jan
2020-01-08,Beach,F,6.5,0,2020,Jan
2020-01-08,Beach,M,6,0,2020,Jan
2020-01-08,Beach,M,9.2,1,2020,Jan
2020-01-08,Beach,M,8.1,0,2020,Jan
2020-01-08,Beach,M,8.5,0,2020,Jan
2020-01-08,Beach,F,9,0,2020,Jan
2020-01-08,Beach,F,9.3,0,2020,Jan
2020-01-08,Beach,F,8.2,1,2020,Jan
2020-01-08,Beach,M,10.5,0,2020,Jan
2020-01-08,Beach,F,7.4,0,2020,Jan
2020-01-08,Beach,F,7.7,0,2020,Jan
2020-01-08,Beach,M,9,0,2020,Jan
2020-01-08,Beach,M,10.6,0,2020,Jan
2020-01-08,Beach,M,11.7,1,2020,Jan
2020-01-08,Beach,F,7.7,0,2020,Jan
2020-01-08,Beach,F,9.4,1,2020,Jan
2020-01-08,Beach,F,10.4,0,2020,Jan
2020-01-08,Beach,M,8.3,0,2020,Jan
2020-01-08,Beach,F,8.5,0,2020,Jan
2020-01-08,Beach,M,6.5,0,2020,Jan
2020-01-08,Beach,F,8.5,0,2020,Jan
2020-01-08,Beach,M,9,0,2020,Jan
2020-01-08,Beach,M,7.2,0,2020,Jan
2019-03-17,Tussock,M,10.2,2,2019,Mar
2019-03-17,Tussock,M,13.2,3,2019,Mar
2019-03-17,Tussock,M,17.6,3,2019,Mar
2019-03-17,Tussock,F,12.4,3,2019,Mar
2019-03-17,Tussock,F,12.4,3,2019,Mar
2019-03-17,Tussock,M,14.2,3,2019,Mar
2019-03-17,Tussock,F,13.2,3,2019,Mar
2019-03-17,Tussock,F,10.7,3,2019,Mar
2019-03-17,Tussock,M,12.8,2,2019,Mar
2019-03-17,Tussock,F,9.6,3,2019,Mar
2019-03-17,Tussock,F,10.4,3,2019,Mar
2019-03-17,Tussock,F,12.9,3,2019,Mar
2019-03-17,Tussock,F,13.4,3,2019,Mar
2019-03-17,Tussock,F,14.2,3,2019,Mar
2019-03-17,Beach,F,12.6,3,2019,Mar
2019-03-17,Beach,M,9.7,2,2019,Mar
2019-03-17,Beach,M,11.9,3,2019,Mar
2019-03-17,Beach,F,11.8,3,2019,Mar
2019-03-17,Beach,M,16.2,3,2019,Mar
2019-03-17,Beach,F,11,3,2019,Mar
2019-03-17,Beach,F,11.6,3,2019,Mar
2019-03-17,Beach,F,12.1,3,2019,Mar
2019-03-17,Beach,F,14.6,3,2019,Mar
2019-03-17,Beach,M,16.8,3,2019,Mar
2019-03-17,Beach,M,15.2,3,2019,Mar
2019-03-17,Beach,M,12.9,3,2019,Mar
2019-03-17,Beach,F,13,3,2019,Mar
2019-03-17,Beach,M,11.8,3,2019,Mar
2019-03-17,Beach,M,15.3,3,2019,Mar
2019-03-17,Beach,M,15.2,3,2019,Mar
2019-03-17,Beach,F,11.8,3,2019,Mar
2019-03-17,Beach,M,14.5,3,2019,Mar
2019-03-17,Beach,M,12.2,3,2019,Mar
2019-03-17,Beach,M,13.8,3,2019,Mar
2019-03-17,Beach,F,11.4,3,2019,Mar
2019-03-17,Beach,M,12,3,2019,Mar
2019-03-17,Beach,M,10.8,3,2019,Mar
2019-03-17,Beach,F,11,3,2019,Mar
2019-03-17,Beach,M,16.2,3,2019,Mar
2019-03-17,Beach,F,12.5,3,2019,Mar
2019-03-17,Beach,M,10.1,2,2019,Mar
2019-03-17,Beach,F,11.2,3,2019,Mar
2019-03-17,Tussock,M,14.2,3,2019,Mar
2019-03-17,Tussock,M,8.5,1,2019,Mar
2019-03-17,Tussock,M,12.7,3,2019,Mar
2019-03-17,Tussock,M,13,3,2019,Mar
2019-03-17,Tussock,F,13.1,3,2019,Mar
2019-03-17,Tussock,M,18.2,3,2019,Mar
2019-03-17,Tussock,M,12.8,3,2019,Mar
2019-03-17,Tussock,F,10.2,3,2019,Mar
2019-03-17,Tussock,F,12.6,3,2019,Mar
2019-03-17,Tussock,M,16.2,3,2019,Mar
2019-03-17,Tussock,F,10.8,3,2019,Mar
2019-03-17,Tussock,M,11.6,3,2019,Mar
2019-03-17,Tussock,M,11.8,2,2019,Mar
2019-03-17,Tussock,F,11.3,3,2019,Mar
2019-03-17,Tussock,F,13.2,3,2019,Mar
2019-03-17,Tussock,F,7.5,3,2019,Mar
2019-03-17,Tussock,M,14.2,3,2019,Mar
2019-03-17,Tussock,M,13.8,3,2019,Mar
2019-03-17,Tussock,M,15.5,2,2019,Mar
2019-03-17,Tussock,M,15.6,3,2019,Mar
2019-03-17,Tussock,F,12.4,3,2019,Mar
2019-03-17,Tussock,M,15.7,3,2019,Mar
2019-03-17,Tussock,M,11.7,3,2019,Mar
2019-03-17,Tussock,M,15.2,3,2019,Mar
2019-03-17,Tussock,M,15.7,3,2019,Mar
2019-03-17,Tussock,M,14.2,3,2019,Mar
2019-03-17,Tussock,M,15.2,3,2019,Mar
2019-03-17,Tussock,M,9.6,2,2019,Mar
2019-03-17,Tussock,M,11.8,2,2019,Mar
2019-03-17,Tussock,F,12.4,3,2019,Mar
2019-03-17,Tussock,F,10.2,3,2019,Mar
2019-03-17,Tussock,F,10.2,3,2019,Mar
2019-03-17,Tussock,F,12.4,3,2019,Mar
2019-03-17,Tussock,M,12.2,3,2019,Mar
2019-03-17,Tussock,M,14.4,3,2019,Mar
2019-03-17,Tussock,M,13.8,3,2019,Mar
2019-03-17,Beach,M,11.3,3,2019,Mar
2019-03-17,Beach,M,15,3,2019,Mar
2019-03-17,Beach,F,11.1,3,2019,Mar
2019-03-17,Beach,M,18,3,2019,Mar
2019-03-17,Beach,M,12.8,3,2019,Mar
2019-03-17,Beach,F,13.1,2,2019,Mar
2019-03-17,Beach,M,16.1,3,2019,Mar
2019-03-17,Beach,F,12.6,3,2019,Mar
2019-03-17,Beach,F,12.6,3,2019,Mar
2019-03-17,Beach,F,12.4,3,2019,Mar
2019-03-17,Beach,F,13.8,3,2019,Mar
2019-03-17,Beach,F,10.2,3,2019,Mar
2019-03-17,Beach,F,10.4,3,2019,Mar
2019-03-17,Beach,F,9,3,2019,Mar
2019-03-17,Beach,M,13.4,2,2019,Mar
2019-03-17,Beach,F,14,3,2019,Mar
2019-03-17,Beach,M,12.4,3,2019,Mar
2019-03-17,Beach,F,10.8,2,2019,Mar
2019-03-17,Beach,F,13.9,3,2019,Mar
2019-03-17,Beach,F,12.2,3,2019,Mar
2019-03-17,Beach,F,10,3,2019,Mar
2019-03-17,Beach,M,13.8,3,2019,Mar
2019-02-17,Beach,F,13,1,2019,Feb
2019-02-17,Beach,M,10,1,2019,Feb
2019-02-17,Beach,F,8,1,2019,Feb
2019-02-17,Tussock,F,11.8,2,2019,Feb
2019-02-17,Beach,M,10.2,2,2019,Feb
2019-02-17,Beach,F,8,1,2019,Feb
2019-02-17,Beach,F,8,1,2019,Feb
2019-02-17,Beach,M,7.8,0,2019,Feb
2019-02-17,Beach,F,9.8,2,2019,Feb
2019-02-17,Beach,F,9,2,2019,Feb
2019-02-17,Beach,M,11,1,2019,Feb
2019-02-17,Tussock,M,12.2,2,2019,Feb
2019-02-17,Beach,M,11.2,2,2019,Feb
2019-02-17,Beach,M,8.4,1,2019,Feb
2019-02-17,Beach,M,8.8,1,2019,Feb
2019-02-17,Tussock,M,9,1,2019,Feb
2019-02-17,Tussock,F,6.7,1,2019,Feb
2019-02-17,Tussock,F,12,2,2019,Feb
2019-02-17,Tussock,F,10.2,1,2019,Feb
2019-02-17,Tussock,M,11.8,1,2019,Feb
2019-02-17,Tussock,F,8.2,1,2019,Feb
2019-02-17,Tussock,M,9.6,0,2019,Feb
2019-02-17,Tussock,F,8.5,1,2019,Feb
2019-02-17,Tussock,F,10,1,2019,Feb
2019-02-17,Tussock,F,8.8,1,2019,Feb
2019-02-17,Tussock,M,12.8,1,2019,Feb
2019-02-17,Beach,M,11.8,2,2019,Feb
2019-02-17,Tussock,M,9.5,1,2019,Feb
2019-02-17,Tussock,M,10.1,1,2019,Feb
2019-02-17,Tussock,M,9.5,2,2019,Feb
2019-02-17,Tussock,F,7.6,1,2019,Feb
2019-02-17,Tussock,F,10.2,1,2019,Feb
2019-02-17,Tussock,F,8.5,2,2019,Feb
2019-02-17,Tussock,M,10.8,1,2019,Feb
2019-02-17,Tussock,M,7.8,1,2019,Feb
2019-02-17,Tussock,F,12,2,2019,Feb
2019-02-17,Tussock,F,9.2,1,2019,Feb
2019-02-17,Tussock,F,10.4,1,2019,Feb
2019-02-17,Tussock,M,11.2,1,2019,Feb
2019-02-17,Tussock,F,13,2,2019,Feb
2019-02-17,Tussock,M,12.5,1,2019,Feb
2019-02-17,Beach,M,12.2,2,2019,Feb
2019-02-17,Tussock,F,10,2,2019,Feb
2019-02-17,Beach,M,13.6,1,2019,Feb
2019-02-17,Beach,M,12,1,2019,Feb
2019-02-17,Beach,M,15.6,1,2019,Feb
2019-02-17,Beach,M,11.8,0,2019,Feb
2019-02-17,Beach,F,6.8,0,2019,Feb
2019-02-17,Beach,M,10.8,1,2019,Feb
2019-02-17,Beach,F,9.8,1,2019,Feb
2019-02-17,Beach,M,13.2,3,2019,Feb
2019-02-17,Beach,F,10,1,2019,Feb
2019-02-17,Beach,F,9.9,0,2019,Feb
2019-02-17,Beach,M,8.1,0,2019,Feb
2019-02-17,Beach,M,12,2,2019,Feb
2019-02-17,Beach,M,9.2,1,2019,Feb
2019-02-17,Beach,F,9.2,1,2019,Feb
2019-02-17,Beach,M,12,1,2019,Feb
2019-02-17,Beach,F,8.7,2,2019,Feb
2019-02-17,Beach,M,12.1,1,2019,Feb
2019-02-17,Beach,M,12.5,1,2019,Feb
2019-02-17,Beach,M,9.7,1,2019,Feb
2019-02-17,Beach,M,13.2,2,2019,Feb
2019-02-17,Beach,M,12.1,1,2019,Feb
2019-02-17,Beach,M,8.4,0,2019,Feb
2019-02-17,Beach,F,8.5,0,2019,Feb
2019-02-17,Beach,M,10.9,1,2019,Feb
2019-02-17,Beach,F,10.8,1,2019,Feb
2019-02-17,Tussock,M,9.8,1,2019,Feb
2019-02-17,Tussock,F,10.6,2,2019,Feb
2019-02-17,Tussock,M,10,2,2019,Feb
2019-02-17,Tussock,M,10.2,1,2019,Feb
2019-02-17,Tussock,F,11.2,1,2019,Feb
2019-02-17,Tussock,M,9,1,2019,Feb
2019-02-17,Tussock,F,9.1,1,2019,Feb
2019-02-17,Tussock,M,13.4,1,2019,Feb
2019-02-17,Tussock,F,11.4,1,2019,Feb
2019-02-17,Tussock,F,9.8,2,2019,Feb
2019-02-17,Tussock,F,10.6,2,2019,Feb
2019-02-17,Tussock,M,11,1,2019,Feb
2019-02-17,Tussock,M,9.4,1,2019,Feb
2019-02-17,Tussock,F,10.4,1,2019,Feb
2019-02-17,Tussock,F,9.3,1,2019,Feb
2019-02-17,Tussock,F,9.2,2,2019,Feb
2019-02-17,Tussock,F,11.2,1,2019,Feb
2019-02-17,Tussock,F,9.4,1,2019,Feb
2019-02-17,Tussock,F,9.2,1,2019,Feb
2019-02-17,Tussock,F,12.6,1,2019,Feb
2019-02-17,Tussock,F,9,2,2019,Feb
2019-02-17,Tussock,F,9.6,1,2019,Feb
2019-02-17,Beach,F,7.8,1,2019,Feb
2019-02-17,Beach,M,5.4,1,2019,Feb
2019-02-17,Beach,M,13.2,1,2019,Feb
2019-02-17,Beach,F,9.5,2,2019,Feb
2019-02-17,Beach,F,9.2,1,2019,Feb
2019-02-17,Beach,F,7.6,2,2019,Feb
2019-02-17,Beach,M,8.2,3,2019,Feb
2019-02-17,Beach,F,7.4,2,2019,Feb
2019-02-17,Beach,M,13.8,2,2019,Feb
2019-02-17,Beach,M,9.2,1,2019,Feb
2019-01-17,Tussock,M,10.2,0,2019,Jan
2019-01-17,Tussock,M,6.1,0,2019,Jan
2019-01-17,Tussock,F,6.5,0,2019,Jan
2019-01-17,Tussock,F,9.5,0,2019,Jan
2019-01-17,Tussock,M,10.8,0,2019,Jan
2019-01-17,Beach,M,6.6,0,2019,Jan
2019-01-17,Beach,M,9,0,2019,Jan
2019-01-17,Beach,F,8.9,0,2019,Jan
2019-01-17,Beach,F,3.7,0,2019,Jan
2019-01-17,Beach,F,6.1,0,2019,Jan
2019-01-17,Beach,F,8.2,0,2019,Jan
2019-01-17,Beach,M,8.2,0,2019,Jan
2019-01-17,Beach,F,5.8,0,2019,Jan
2019-01-17,Beach,F,7.5,0,2019,Jan
2019-01-17,Beach,M,4.6,0,2019,Jan
2019-01-17,Beach,M,10.2,0,2019,Jan
2019-01-17,Beach,F,4.9,0,2019,Jan
2019-01-17,Beach,F,4.8,0,2019,Jan
2019-01-17,Tussock,M,6.2,0,2019,Jan
2019-01-17,Tussock,F,5.3,0,2019,Jan
2019-01-17,Tussock,M,9.1,0,2019,Jan
2019-01-17,Tussock,M,10.6,0,2019,Jan
2019-01-17,Tussock,F,4.5,0,2019,Jan
2019-01-17,Tussock,M,10.9,0,2019,Jan
2019-01-17,Tussock,M,7.6,0,2019,Jan
2019-01-17,Tussock,F,8.6,0,2019,Jan
2019-01-17,Tussock,M,7.5,0,2019,Jan
2019-01-17,Tussock,F,6.1,0,2019,Jan
2019-01-17,Tussock,M,8,0,2019,Jan
2019-01-17,Tussock,F,7,0,2019,Jan
2019-01-17,Tussock,F,9,0,2019,Jan
2019-01-17,Tussock,M,7.8,0,2019,Jan
2019-01-17,Tussock,F,4.8,0,2019,Jan
