tank_id,fish_id,soy_protein,avg_tank_temp,tank_category,day_30_weight
6,110,medium,76,warm,274.80804919073154
6,111,medium,76,warm,507.33306142018256
6,112,medium,76,warm,502.6357616698588
6,113,medium,76,warm,364.2115883904733
6,114,medium,76,warm,436.17771778004504
6,115,medium,76,warm,186.95011595187037
6,116,medium,76,warm,291.974258080059
6,117,medium,76,warm,342.0003353459032
6,118,medium,76,warm,508.2628423940428
6,119,medium,76,warm,279.8895044964223
6,120,medium,76,warm,336.3017944370885
7,121,medium,73.9,cold,845.4340070534311
7,122,medium,73.9,cold,88.77128427313515
7,123,medium,73.9,cold,926.176956090076
7,124,medium,73.9,cold,615.5619398642347
7,125,medium,73.9,cold,376.0494716153227
7,126,medium,73.9,cold,117.90800896697924
7,127,medium,73.9,cold,199.62393243757504
7,128,medium,73.9,cold,550.8146398036612
7,129,medium,73.9,cold,615.3236021603041
7,130,medium,73.9,cold,130.52689236351716
7,131,medium,73.9,cold,580.050710539442
7,132,medium,73.9,cold,263.91427951111245
7,133,medium,73.9,cold,337.33851191517493
7,134,medium,73.9,cold,689.0736526351543
7,135,medium,73.9,cold,707.2280436313221
7,136,medium,73.9,cold,275.74793071042916
7,137,medium,73.9,cold,451.15180229560787
7,138,medium,73.9,cold,387.0090880703455
7,139,medium,73.9,cold,231.70629040771655
7,140,medium,73.9,cold,20.060620681994823
8,141,medium,76.1,warm,220.0618242360135
8,142,medium,76.1,warm,43.32867879057127
8,143,medium,76.1,warm,796.6934289536565
8,144,medium,76.1,warm,494.2814659512578
8,145,medium,76.1,warm,104.15679578945796
8,146,medium,76.1,warm,172.44759204843507
8,147,medium,76.1,warm,1103.9643938420472
8,148,medium,76.1,warm,404.6353423476057
8,149,medium,76.1,warm,435.7898251740175
8,150,medium,76.1,warm,659.8319876166896
8,151,medium,76.1,warm,169.66498755557654
8,152,medium,76.1,warm,526.9688285743631
8,153,medium,76.1,warm,345.3964484294439
8,154,medium,76.1,warm,227.92369189106265
8,155,medium,76.1,warm,760.4259714449219
8,156,medium,76.1,warm,583.2945147487844
8,157,medium,76.1,warm,542.1434962276364
8,158,medium,76.1,warm,336.42798375266943
8,159,medium,76.1,warm,912.85531187239
8,160,medium,76.1,warm,155.88171256061955
9,161,high,73.1,cold,787.9999857511092
9,162,high,73.1,cold,656.8158089192052
9,163,high,73.1,cold,650.812420077817
9,164,high,73.1,cold,716.8014623789364
9,165,high,73.1,cold,499.1697643433168
9,166,high,73.1,cold,618.9208277279125
9,167,high,73.1,cold,479.3324855236624
9,168,high,73.1,cold,404.37698826721095
9,169,high,73.1,cold,587.7452067395659
9,170,high,73.1,cold,466.5212194795351
9,171,high,73.1,cold,590.534138857863
9,172,high,73.1,cold,708.2354294535617
9,173,high,73.1,cold,870.0327511713779
9,174,high,73.1,cold,613.2064165331146
9,175,high,73.1,cold,867.0506665739659
9,176,high,73.1,cold,461.0878667254134
9,177,high,73.1,cold,857.0306927984033
9,178,high,73.1,cold,404.0881759794152
9,179,high,73.1,cold,550.7672139021838
9,180,high,73.1,cold,253.604653122726
10,181,high,75.2,warm,477.7673872945385
10,182,high,75.2,warm,772.3416041951098
10,183,high,75.2,warm,902.9966999724286
10,184,high,75.2,warm,1039.696227638699
10,185,high,75.2,warm,606.8963668446812
10,186,high,75.2,warm,630.5947575419331
10,187,high,75.2,warm,619.1576737019451
10,188,high,75.2,warm,703.2669706532721
10,189,high,75.2,warm,172.03346133651024
10,190,high,75.2,warm,645.0587396537186
10,191,high,75.2,warm,493.4449507632972
10,192,high,75.2,warm,5.288928372399859
10,193,high,75.2,warm,731.0936791964888
10,194,high,75.2,warm,484.7095129927646
10,195,high,75.2,warm,499.7519585571115
10,196,high,75.2,warm,743.1932581840897
10,197,high,75.2,warm,675.5920446460257
10,198,high,75.2,warm,611.2598128049056
10,199,high,75.2,warm,503.737593140178
10,200,high,75.2,warm,592.2049337104214
11,201,high,76.4,warm,607.7114450130039
11,202,high,76.4,warm,1175.9145308158986
11,203,high,76.4,warm,1127.0811961075278
11,204,high,76.4,warm,756.5568978681434
11,205,high,76.4,warm,843.2826148566115
11,206,high,76.4,warm,495.8793094080649
11,207,high,76.4,warm,303.15544536407447
11,208,high,76.4,warm,358.0189551816967
11,209,high,76.4,warm,813.2778599917809
11,210,high,76.4,warm,445.5323633124418
11,211,high,76.4,warm,654.381107643432
11,212,high,76.4,warm,693.7348980729155
11,213,high,76.4,warm,820.7264939640671
11,214,high,76.4,warm,769.6882920621445
11,215,high,76.4,warm,553.5189750138798
11,216,high,76.4,warm,380.18195442630224
11,217,high,76.4,warm,433.2934728012748
11,218,high,76.4,warm,643.9490971306664
11,219,high,76.4,warm,387.9058299330177
11,220,high,76.4,warm,614.6153100070134
12,221,high,71.9,cold,588.3065878132965
12,222,high,71.9,cold,1071.0648922919509
12,223,high,71.9,cold,390.7752888109051
12,224,high,71.9,cold,514.1040105749072
12,225,high,71.9,cold,595.9654694740901
12,226,high,71.9,cold,813.0851959622374
12,227,high,71.9,cold,594.3572184591608
12,228,high,71.9,cold,346.17137841651186
12,229,high,71.9,cold,357.93021084941785
12,230,high,71.9,cold,577.3284811703616
12,231,high,71.9,cold,1019.7520000914592
12,232,high,71.9,cold,657.3670184610011
12,233,high,71.9,cold,563.990597335161
12,234,high,71.9,cold,738.4971968031736
12,235,high,71.9,cold,298.5686194728807
12,236,high,71.9,cold,698.9345894768255
12,237,high,71.9,cold,544.4603125284049
12,238,high,71.9,cold,646.2227367005041
12,239,high,71.9,cold,817.291738198113
12,240,high,71.9,cold,793.9246800079751
13,241,very high,75.9,warm,936.0893362950316
13,242,very high,75.9,warm,1197.5830359015868
13,243,very high,75.9,warm,935.7217124020726
13,244,very high,75.9,warm,698.9871388208974
13,245,very high,75.9,warm,1136.767497663378
13,246,very high,75.9,warm,1084.7600309177874
13,247,very high,75.9,warm,1071.0895200092143
13,248,very high,75.9,warm,667.0949418794437
13,249,very high,75.9,warm,921.4727783207404
13,250,very high,75.9,warm,763.4096018228289
13,251,very high,75.9,warm,1023.5745685708008
13,252,very high,75.9,warm,943.8261273488492
13,253,very high,75.9,warm,530.9328900777541
13,254,very high,75.9,warm,1147.8684193352324
13,255,very high,75.9,warm,737.8398041617211
13,256,very high,75.9,warm,490.3961178413671
13,257,very high,75.9,warm,1352.901014378927
13,258,very high,75.9,warm,520.0315827547117
13,259,very high,75.9,warm,738.7670781733193
13,260,very high,75.9,warm,502.2919841504988
14,261,very high,73.2,cold,729.187784355427
14,262,very high,73.2,cold,932.8513448095928
14,263,very high,73.2,cold,957.1067428632346
14,264,very high,73.2,cold,591.0509440495267
14,265,very high,73.2,cold,626.0518146973235
14,266,very high,73.2,cold,656.7602747770592
14,267,very high,73.2,cold,1108.4727827689298
14,268,very high,73.2,cold,915.0307234265512
14,269,very high,73.2,cold,602.9237413355994
14,270,very high,73.2,cold,827.7153776051408
14,271,very high,73.2,cold,908.2677268281157
14,272,very high,73.2,cold,340.5809011008127
14,273,very high,73.2,cold,986.640515555188
14,274,very high,73.2,cold,744.2909415417572
14,275,very high,73.2,cold,107.05499014842052
14,276,very high,73.2,cold,1125.6709120242308
14,277,very high,73.2,cold,885.4331299104213
14,278,very high,73.2,cold,430.3420467859212
14,279,very high,73.2,cold,585.282607189502
14,280,very high,73.2,cold,724.2907595373878
15,281,very high,74.7,cold,982.6891799753024
15,282,very high,74.7,cold,848.1553362571515
15,283,very high,74.7,cold,821.3680413493188
15,284,very high,74.7,cold,762.1499626336429
15,285,very high,74.7,cold,1045.8708403332348
15,286,very high,74.7,cold,1182.1004057332705
15,287,very high,74.7,cold,952.659456357276
15,288,very high,74.7,cold,841.0659084426894
15,289,very high,74.7,cold,988.306058646948
15,290,very high,74.7,cold,843.7430966497398
15,291,very high,74.7,cold,847.5159607871285
15,292,very high,74.7,cold,939.8059747662544
15,293,very high,74.7,cold,970.121359879943
15,294,very high,74.7,cold,741.6522908371445
15,295,very high,74.7,cold,838.3920223720813
15,296,very high,74.7,cold,1034.0748865484773
15,297,very high,74.7,cold,569.578804434629
15,298,very high,74.7,cold,1199.4232271052292
15,299,very high,74.7,cold,1175.3901225780037
15,300,very high,74.7,cold,596.6734276478293
16,301,very high,76.1,warm,716.810406633552
16,302,very high,76.1,warm,541.0987964487655
16,303,very high,76.1,warm,812.4664737805768
16,304,very high,76.1,warm,677.9606250021975
16,305,very high,76.1,warm,905.063984865571
16,306,very high,76.1,warm,535.2753171975742
16,307,very high,76.1,warm,917.804039698534
16,308,very high,76.1,warm,864.7911636174881
16,309,very high,76.1,warm,991.6666741454544
16,310,very high,76.1,warm,766.014973658494
16,311,very high,76.1,warm,1094.391895493933
16,312,very high,76.1,warm,1264.2928889540551
16,313,very high,76.1,warm,1078.8362670320569
16,314,very high,76.1,warm,387.43621169540006
16,315,very high,76.1,warm,1227.8952127385448
16,316,very high,76.1,warm,630.3028413879556
16,317,very high,76.1,warm,508.3625904531907
16,318,very high,76.1,warm,443.279717768075
16,319,very high,76.1,warm,495.4983174068611
16,320,very high,76.1,warm,1078.1255652375328
