date,survey_area,bay,num_seals
2021-03-07,2,Hope,1
2021-03-07,3,Hope,1
2021-03-07,4,Hope,2
2021-03-07,5,Hope,3
2021-03-07,1,Emperor,12
2021-03-07,2,Emperor,12
2021-03-07,3,Emperor,11
2021-03-07,4,Emperor,9
2021-03-07,5,Emperor,11
2021-03-07,1,Emperor,7
2021-03-07,2,Emperor,12
2021-03-07,3,Emperor,9
2021-03-07,4,Emperor,10
2021-03-07,5,Emperor,10
2021-03-07,1,Sulzberger,3
2021-03-07,2,Sulzberger,1
2021-03-07,3,Sulzberger,4
2021-03-07,4,Sulzberger,2
2021-03-07,5,Sulzberger,1
2021-03-08,1,Sulzberger,3
2021-03-08,2,Sulzberger,1
2021-03-08,3,Sulzberger,2
2021-03-08,4,Sulzberger,2
2021-03-08,5,Sulzberger,3
2021-03-08,1,Iceberg,4
2021-03-08,2,Iceberg,6
2021-03-08,3,Iceberg,6
2021-03-08,4,Iceberg,7
2021-03-08,5,Iceberg,6
2021-03-08,1,Iceberg,5
2021-03-08,2,Iceberg,6
2021-03-08,3,Iceberg,5
2021-03-08,4,Iceberg,8
2021-03-08,5,Iceberg,2
2021-03-08,1,Hope,1
2021-03-08,2,Hope,2
2021-03-08,3,Hope,2
2021-03-08,4,Hope,1
2021-03-08,5,Hope,3
2021-03-08,1,Hope,1
2021-03-08,2,Hope,1
2021-03-08,3,Hope,2
2021-03-08,4,Hope,3
2021-03-08,5,Hope,2
2021-03-09,1,Emperor,9
2021-03-09,2,Emperor,9
2021-03-09,3,Emperor,9
2021-03-09,4,Emperor,11
2021-03-09,5,Emperor,9
2021-03-09,1,Emperor,11
2021-03-09,2,Emperor,11
2021-03-09,3,Emperor,11
2021-03-09,4,Emperor,11
2021-03-09,5,Emperor,10
2021-03-09,1,Sulzberger,2
2021-03-09,2,Sulzberger,3
2021-03-09,3,Sulzberger,1
2021-03-09,4,Sulzberger,1
2021-03-09,5,Sulzberger,3
2021-03-09,1,Sulzberger,2
2021-03-09,2,Sulzberger,2
2021-03-09,3,Sulzberger,4
2021-03-09,4,Sulzberger,2
2021-03-09,5,Sulzberger,0
2021-03-09,1,Iceberg,5
2021-03-09,2,Iceberg,8
2021-03-09,3,Iceberg,9
2021-03-09,4,Iceberg,3
2021-03-09,5,Iceberg,6
2021-03-10,1,Iceberg,5
2021-03-10,2,Iceberg,4
2021-03-10,3,Iceberg,8
2021-03-10,4,Iceberg,6
2021-03-10,5,Iceberg,5
2021-03-10,1,Hope,2
2021-03-10,2,Hope,3
2021-03-10,3,Hope,1
2021-03-10,4,Hope,3
2021-03-10,5,Hope,1
2021-03-10,1,Hope,3
2021-03-10,2,Hope,2
2021-03-10,3,Hope,3
2021-03-10,4,Hope,3
2021-03-10,5,Hope,1
2021-03-10,1,Emperor,9
2021-03-10,2,Emperor,9
2021-03-10,3,Emperor,10
2021-03-10,4,Emperor,12
2021-03-10,5,Emperor,10
2021-03-10,1,Emperor,10
2021-03-10,2,Emperor,9
2021-03-10,3,Emperor,10
2021-03-10,4,Emperor,10
2021-03-10,5,Emperor,9
2021-03-11,1,Sulzberger,1
2021-03-11,2,Sulzberger,3
2021-03-11,3,Sulzberger,1
2021-03-11,4,Sulzberger,4
2021-03-11,5,Sulzberger,1
2021-03-11,1,Sulzberger,2
2021-03-11,2,Sulzberger,1
2021-03-11,3,Sulzberger,3
2021-03-11,4,Sulzberger,3
2021-03-11,5,Sulzberger,3
2021-03-11,1,Iceberg,9
2021-03-11,2,Iceberg,8
2021-03-11,3,Iceberg,4
2021-03-11,4,Iceberg,4
2021-03-11,5,Iceberg,5
2021-03-11,1,Iceberg,4
2021-03-11,2,Iceberg,4
2021-03-11,3,Iceberg,10
2021-03-11,4,Iceberg,7
2021-03-11,5,Iceberg,7
2021-03-11,1,Hope,0
2021-03-11,2,Hope,1
2021-03-11,3,Hope,4
2021-03-11,4,Hope,2
2021-03-11,5,Hope,4
2021-03-12,1,Hope,1
2021-03-12,2,Hope,3
2021-03-12,3,Hope,2
2021-03-12,4,Hope,3
2021-03-12,5,Hope,0
2021-03-12,1,Emperor,11
2021-03-12,2,Emperor,9
2021-03-12,3,Emperor,12
2021-03-12,4,Emperor,10
2021-03-12,5,Emperor,10
2021-03-12,1,Emperor,11
2021-03-12,2,Emperor,9
2021-03-12,3,Emperor,11
2021-03-12,4,Emperor,8
2021-03-12,5,Emperor,9
2021-03-12,1,Sulzberger,1
2021-03-12,2,Sulzberger,2
2021-03-12,3,Sulzberger,1
2021-03-12,4,Sulzberger,3
2021-03-12,5,Sulzberger,2
2021-03-12,1,Sulzberger,1
2021-03-12,2,Sulzberger,2
2021-03-12,3,Sulzberger,2
2021-03-12,4,Sulzberger,1
2021-03-12,5,Sulzberger,2
2021-03-13,1,Iceberg,3
2021-03-13,2,Iceberg,6
2021-03-13,3,Iceberg,6
2021-03-13,4,Iceberg,6
2021-03-13,5,Iceberg,5
2021-03-13,1,Iceberg,8
2021-03-13,2,Iceberg,4
2021-03-13,3,Iceberg,10
2021-03-13,4,Iceberg,8
2021-03-13,5,Iceberg,7
2021-03-13,1,Hope,1
2021-03-13,2,Hope,1
2021-03-13,3,Hope,2
2021-03-13,4,Hope,1
2021-03-13,5,Hope,3
2021-03-13,1,Hope,2
2021-03-13,2,Hope,1
2021-03-13,3,Hope,3
2021-03-13,4,Hope,0
2021-03-13,5,Hope,3
2021-03-13,1,Emperor,9
2021-03-13,2,Emperor,9
2021-03-13,3,Emperor,9
2021-03-13,4,Emperor,10
2021-03-13,5,Emperor,10
2021-03-14,1,Emperor,11
2021-03-14,2,Emperor,10
2021-03-14,3,Emperor,11
2021-03-14,4,Emperor,7
2021-03-14,5,Emperor,10
2021-03-14,1,Sulzberger,3
2021-03-14,2,Sulzberger,2
2021-03-14,3,Sulzberger,2
2021-03-14,4,Sulzberger,1
2021-03-14,5,Sulzberger,3
2021-03-14,1,Sulzberger,2
2021-03-14,2,Sulzberger,2
2021-03-14,3,Sulzberger,2
2021-03-14,4,Sulzberger,4
2021-03-14,5,Sulzberger,2
2021-03-14,1,Iceberg,3
2021-03-14,2,Iceberg,9
2021-03-14,3,Iceberg,5
2021-03-14,4,Iceberg,4
2021-03-14,5,Iceberg,7
2021-03-14,1,Iceberg,2
2021-03-14,2,Iceberg,6
2021-03-14,3,Iceberg,7
2021-03-14,4,Iceberg,12
2021-03-14,5,Iceberg,7
2021-03-15,1,Hope,3
2021-03-15,2,Hope,3
2021-03-15,3,Hope,1
2021-03-15,4,Hope,2
2021-03-15,5,Hope,2
2021-03-15,1,Hope,3
2021-03-15,2,Hope,1
2021-03-15,3,Hope,1
2021-03-15,4,Hope,2
2021-03-15,5,Hope,3
2021-03-15,1,Emperor,12
2021-03-15,2,Emperor,12
2021-03-15,3,Emperor,11
2021-03-15,4,Emperor,9
2021-03-15,5,Emperor,11
2021-03-15,1,Emperor,7
2021-03-15,2,Emperor,12
2021-03-15,3,Emperor,9
2021-03-15,4,Emperor,10
2021-03-15,5,Emperor,10
2021-03-15,1,Sulzberger,3
2021-03-15,2,Sulzberger,1
2021-03-15,3,Sulzberger,4
2021-03-15,4,Sulzberger,2
2021-03-15,5,Sulzberger,1
2021-03-16,1,Sulzberger,3
2021-03-16,2,Sulzberger,1
2021-03-16,3,Sulzberger,2
2021-03-16,4,Sulzberger,2
2021-03-16,5,Sulzberger,3
2021-03-16,1,Iceberg,4
2021-03-16,2,Iceberg,6
2021-03-16,3,Iceberg,6
2021-03-16,4,Iceberg,7
2021-03-16,5,Iceberg,6
2021-03-16,1,Iceberg,5
2021-03-16,2,Iceberg,6
2021-03-16,3,Iceberg,5
2021-03-16,4,Iceberg,8
2021-03-16,5,Iceberg,2
2021-03-16,1,Hope,1
2021-03-16,2,Hope,2
2021-03-16,3,Hope,2
2021-03-16,4,Hope,1
2021-03-16,5,Hope,3
2021-03-16,1,Hope,1
2021-03-16,2,Hope,1
2021-03-16,3,Hope,2
2021-03-16,4,Hope,3
2021-03-16,5,Hope,2
2021-03-17,1,Emperor,9
2021-03-17,2,Emperor,9
2021-03-17,3,Emperor,9
2021-03-17,4,Emperor,11
2021-03-17,5,Emperor,9
2021-03-17,1,Emperor,11
2021-03-17,2,Emperor,11
2021-03-17,3,Emperor,11
2021-03-17,4,Emperor,11
2021-03-17,5,Emperor,10
2021-03-17,1,Sulzberger,2
2021-03-17,2,Sulzberger,3
2021-03-17,3,Sulzberger,1
2021-03-17,4,Sulzberger,1
2021-03-17,5,Sulzberger,3
2021-03-17,1,Sulzberger,2
2021-03-17,2,Sulzberger,2
2021-03-17,3,Sulzberger,4
2021-03-17,4,Sulzberger,2
2021-03-17,5,Sulzberger,0
2021-03-17,1,Iceberg,5
2021-03-17,2,Iceberg,8
2021-03-17,3,Iceberg,9
2021-03-17,4,Iceberg,3
2021-03-17,5,Iceberg,6
2021-03-18,1,Iceberg,5
2021-03-18,2,Iceberg,4
2021-03-18,3,Iceberg,8
2021-03-18,4,Iceberg,6
2021-03-18,5,Iceberg,5
2021-03-18,1,Hope,2
2021-03-18,2,Hope,3
2021-03-18,3,Hope,1
2021-03-18,4,Hope,3
2021-03-18,5,Hope,1
2021-03-18,1,Hope,3
2021-03-18,2,Hope,2
2021-03-18,3,Hope,3
2021-03-18,4,Hope,3
2021-03-18,5,Hope,1
2021-03-18,1,Emperor,9
2021-03-18,2,Emperor,9
2021-03-18,3,Emperor,10
2021-03-18,4,Emperor,12
2021-03-18,5,Emperor,10
2021-03-18,1,Emperor,10
2021-03-18,2,Emperor,9
2021-03-18,3,Emperor,10
2021-03-18,4,Emperor,10
2021-03-18,5,Emperor,9
2021-03-19,1,Sulzberger,1
2021-03-19,2,Sulzberger,3
2021-03-19,3,Sulzberger,1
2021-03-19,4,Sulzberger,4
2021-03-19,5,Sulzberger,1
2021-03-19,1,Sulzberger,2
2021-03-19,2,Sulzberger,1
2021-03-19,3,Sulzberger,3
2021-03-19,4,Sulzberger,3
2021-03-19,5,Sulzberger,3
2021-03-19,1,Iceberg,9
2021-03-19,2,Iceberg,8
2021-03-19,3,Iceberg,4
2021-03-19,4,Iceberg,4
2021-03-19,5,Iceberg,5
2021-03-19,1,Iceberg,4
2021-03-19,2,Iceberg,4
2021-03-19,3,Iceberg,10
2021-03-19,4,Iceberg,7
2021-03-19,5,Iceberg,7
2021-03-19,1,Hope,0
2021-03-19,2,Hope,1
2021-03-19,3,Hope,4
2021-03-19,4,Hope,2
2021-03-19,5,Hope,4
2021-03-20,1,Hope,1
2021-03-20,2,Hope,3
2021-03-20,3,Hope,2
2021-03-20,4,Hope,3
2021-03-20,5,Hope,0
2021-03-20,1,Emperor,11
2021-03-20,2,Emperor,9
2021-03-20,3,Emperor,12
2021-03-20,4,Emperor,10
2021-03-20,5,Emperor,10
2021-03-20,1,Emperor,11
2021-03-20,2,Emperor,9
2021-03-20,3,Emperor,11
2021-03-20,4,Emperor,8
2021-03-20,5,Emperor,9
2021-03-20,1,Sulzberger,1
2021-03-20,2,Sulzberger,2
2021-03-20,3,Sulzberger,1
2021-03-20,4,Sulzberger,3
2021-03-20,5,Sulzberger,2
2021-03-20,1,Sulzberger,1
2021-03-20,2,Sulzberger,2
2021-03-20,3,Sulzberger,2
2021-03-20,4,Sulzberger,1
2021-03-20,5,Sulzberger,2
2021-03-21,1,Iceberg,3
2021-03-21,2,Iceberg,6
2021-03-21,3,Iceberg,6
2021-03-21,4,Iceberg,6
2021-03-21,5,Iceberg,5
2021-03-21,1,Iceberg,8
2021-03-21,2,Iceberg,4
2021-03-21,3,Iceberg,10
2021-03-21,4,Iceberg,8
2021-03-21,5,Iceberg,7
2021-03-21,1,Hope,1
2021-03-21,2,Hope,1
2021-03-21,3,Hope,2
2021-03-21,4,Hope,1
2021-03-21,5,Hope,3
2021-03-21,1,Hope,2
2021-03-21,2,Hope,1
2021-03-21,3,Hope,3
2021-03-21,4,Hope,0
2021-03-21,5,Hope,3
2021-03-21,1,Emperor,9
2021-03-21,2,Emperor,9
2021-03-21,3,Emperor,9
2021-03-21,4,Emperor,10
2021-03-21,5,Emperor,10
2021-03-22,1,Emperor,11
2021-03-22,2,Emperor,10
2021-03-22,3,Emperor,11
2021-03-22,4,Emperor,7
2021-03-22,5,Emperor,10
2021-03-22,1,Sulzberger,3
2021-03-22,2,Sulzberger,2
2021-03-22,3,Sulzberger,2
2021-03-22,4,Sulzberger,1
2021-03-22,5,Sulzberger,3
2021-03-22,1,Sulzberger,2
2021-03-22,2,Sulzberger,2
2021-03-22,3,Sulzberger,2
2021-03-22,4,Sulzberger,4
2021-03-22,5,Sulzberger,2
2021-03-22,1,Iceberg,3
2021-03-22,2,Iceberg,9
2021-03-22,3,Iceberg,5
2021-03-22,4,Iceberg,4
2021-03-22,5,Iceberg,7
2021-03-22,1,Iceberg,2
2021-03-22,2,Iceberg,6
2021-03-22,3,Iceberg,7
2021-03-22,4,Iceberg,12
2021-03-22,5,Iceberg,7
2021-03-23,1,Hope,3
2021-03-23,2,Hope,3
2021-03-23,3,Hope,1
2021-03-23,4,Hope,2
2021-03-23,5,Hope,2
2021-03-23,1,Hope,3
2021-03-23,2,Hope,1
2021-03-23,3,Hope,1
2021-03-23,4,Hope,2
2021-03-23,5,Hope,3
2021-03-23,1,Emperor,12
2021-03-23,2,Emperor,12
2021-03-23,3,Emperor,11
2021-03-23,4,Emperor,9
2021-03-23,5,Emperor,11
2021-03-23,1,Emperor,7
2021-03-23,2,Emperor,12
2021-03-23,3,Emperor,9
2021-03-23,4,Emperor,10
2021-03-23,5,Emperor,10
2021-03-23,1,Sulzberger,3
2021-03-23,2,Sulzberger,1
2021-03-23,3,Sulzberger,4
2021-03-23,4,Sulzberger,2
2021-03-23,5,Sulzberger,1
2021-03-24,1,Sulzberger,3
2021-03-24,2,Sulzberger,1
2021-03-24,3,Sulzberger,2
2021-03-24,4,Sulzberger,2
2021-03-24,5,Sulzberger,3
2021-03-24,1,Iceberg,4
2021-03-24,2,Iceberg,6
2021-03-24,3,Iceberg,6
2021-03-24,4,Iceberg,7
2021-03-24,5,Iceberg,6
2021-03-24,1,Iceberg,5
2021-03-24,2,Iceberg,6
2021-03-24,3,Iceberg,5
2021-03-24,4,Iceberg,8
2021-03-24,5,Iceberg,2
2021-03-24,1,Hope,1
2021-03-24,2,Hope,2
2021-03-24,3,Hope,2
2021-03-24,4,Hope,1
2021-03-24,5,Hope,3
2021-03-24,1,Hope,1
2021-03-24,2,Hope,1
2021-03-24,3,Hope,2
2021-03-24,4,Hope,3
2021-03-24,5,Hope,2
2021-03-25,1,Emperor,9
2021-03-25,2,Emperor,9
2021-03-25,3,Emperor,9
2021-03-25,4,Emperor,11
2021-03-25,5,Emperor,9
2021-03-25,1,Emperor,11
2021-03-25,2,Emperor,11
2021-03-25,3,Emperor,11
2021-03-25,4,Emperor,11
2021-03-25,5,Emperor,10
2021-03-25,1,Sulzberger,2
2021-03-25,2,Sulzberger,3
2021-03-25,3,Sulzberger,1
2021-03-25,4,Sulzberger,1
2021-03-25,5,Sulzberger,3
2021-03-25,1,Sulzberger,2
2021-03-25,2,Sulzberger,2
2021-03-25,3,Sulzberger,4
2021-03-25,4,Sulzberger,2
2021-03-25,5,Sulzberger,0
2021-03-25,1,Iceberg,5
2021-03-25,2,Iceberg,8
2021-03-25,3,Iceberg,9
2021-03-25,4,Iceberg,3
2021-03-25,5,Iceberg,6
2021-03-26,1,Iceberg,5
2021-03-26,2,Iceberg,4
2021-03-26,3,Iceberg,8
2021-03-26,4,Iceberg,6
2021-03-26,5,Iceberg,5
2021-03-26,1,Hope,2
2021-03-26,2,Hope,3
2021-03-26,3,Hope,1
2021-03-26,4,Hope,3
2021-03-26,5,Hope,1
2021-03-26,1,Hope,3
2021-03-26,2,Hope,2
2021-03-26,3,Hope,3
2021-03-26,4,Hope,3
2021-03-26,5,Hope,1
2021-03-26,1,Emperor,9
2021-03-26,2,Emperor,9
2021-03-26,3,Emperor,10
2021-03-26,4,Emperor,12
2021-03-26,5,Emperor,10
2021-03-26,1,Emperor,10
2021-03-26,2,Emperor,9
2021-03-26,3,Emperor,10
2021-03-26,4,Emperor,10
2021-03-26,5,Emperor,9
2021-03-27,1,Sulzberger,1
2021-03-27,2,Sulzberger,3
2021-03-27,3,Sulzberger,1
2021-03-27,4,Sulzberger,4
2021-03-27,5,Sulzberger,1
2021-03-27,1,Sulzberger,2
2021-03-27,2,Sulzberger,1
2021-03-27,3,Sulzberger,3
2021-03-27,4,Sulzberger,3
2021-03-27,5,Sulzberger,3
2021-03-27,1,Iceberg,9
2021-03-27,2,Iceberg,8
2021-03-27,3,Iceberg,4
2021-03-27,4,Iceberg,4
2021-03-27,5,Iceberg,5
2021-03-27,1,Iceberg,4
2021-03-27,2,Iceberg,4
2021-03-27,3,Iceberg,10
2021-03-27,4,Iceberg,7
2021-03-27,5,Iceberg,7
2021-03-27,1,Hope,0
2021-03-27,2,Hope,1
2021-03-27,3,Hope,4
2021-03-27,4,Hope,2
2021-03-27,5,Hope,4
2021-03-28,1,Hope,1
2021-03-28,2,Hope,3
2021-03-28,3,Hope,2
2021-03-28,4,Hope,3
2021-03-28,5,Hope,0
2021-03-28,1,Emperor,11
2021-03-28,2,Emperor,9
2021-03-28,3,Emperor,12
2021-03-28,4,Emperor,10
2021-03-28,5,Emperor,10
2021-03-28,1,Emperor,11
2021-03-28,2,Emperor,9
2021-03-28,3,Emperor,11
2021-03-28,4,Emperor,8
2021-03-28,5,Emperor,9
2021-03-28,1,Sulzberger,1
2021-03-28,2,Sulzberger,2
2021-03-28,3,Sulzberger,1
2021-03-28,4,Sulzberger,3
2021-03-28,5,Sulzberger,2
2021-03-28,1,Sulzberger,1
2021-03-28,2,Sulzberger,2
2021-03-28,3,Sulzberger,2
2021-03-28,4,Sulzberger,1
2021-03-28,5,Sulzberger,2
2021-03-29,1,Iceberg,3
2021-03-29,2,Iceberg,6
2021-03-29,3,Iceberg,6
2021-03-29,4,Iceberg,6
2021-03-29,5,Iceberg,5
2021-03-29,1,Iceberg,8
2021-03-29,2,Iceberg,4
2021-03-29,3,Iceberg,10
2021-03-29,4,Iceberg,8
2021-03-29,5,Iceberg,7
2021-03-29,1,Hope,1
2021-03-29,2,Hope,1
2021-03-29,3,Hope,2
2021-03-29,4,Hope,1
2021-03-29,5,Hope,3
2021-03-29,1,Hope,2
2021-03-29,2,Hope,1
2021-03-29,3,Hope,3
2021-03-29,4,Hope,0
2021-03-29,5,Hope,3
2021-03-29,1,Emperor,9
2021-03-29,2,Emperor,9
2021-03-29,3,Emperor,9
2021-03-29,4,Emperor,10
2021-03-29,5,Emperor,10
2021-03-30,1,Emperor,11
2021-03-30,2,Emperor,10
2021-03-30,3,Emperor,11
2021-03-30,4,Emperor,7
2021-03-30,5,Emperor,10
2021-03-30,1,Sulzberger,3
2021-03-30,2,Sulzberger,2
2021-03-30,3,Sulzberger,2
2021-03-30,4,Sulzberger,1
2021-03-30,5,Sulzberger,3
2021-03-30,1,Sulzberger,2
2021-03-30,2,Sulzberger,2
2021-03-30,3,Sulzberger,2
2021-03-30,4,Sulzberger,4
2021-03-30,5,Sulzberger,2
2021-03-30,1,Iceberg,3
2021-03-30,2,Iceberg,9
2021-03-30,3,Iceberg,5
2021-03-30,4,Iceberg,4
2021-03-30,5,Iceberg,7
2021-03-30,1,Iceberg,2
2021-03-30,2,Iceberg,6
2021-03-30,3,Iceberg,7
2021-03-30,4,Iceberg,12
2021-03-30,5,Iceberg,7
2021-03-31,1,Hope,3
2021-03-31,2,Hope,3
2021-03-31,3,Hope,1
2021-03-31,4,Hope,2
2021-03-31,5,Hope,2
2021-03-31,1,Hope,3
2021-03-31,2,Hope,1
2021-03-31,3,Hope,1
2021-03-31,4,Hope,2
2021-03-31,5,Hope,3
2021-03-31,1,Emperor,12
2021-03-31,2,Emperor,12
2021-03-31,3,Emperor,11
2021-03-31,4,Emperor,9
2021-03-31,5,Emperor,11
2021-03-31,1,Emperor,7
2021-03-31,2,Emperor,12
2021-03-31,3,Emperor,9
2021-03-31,4,Emperor,10
2021-03-31,5,Emperor,10
2021-03-31,1,Sulzberger,3
2021-03-31,2,Sulzberger,1
2021-03-31,3,Sulzberger,4
2021-03-31,4,Sulzberger,2
2021-03-31,5,Sulzberger,1
2021-04-01,1,Sulzberger,3
2021-04-01,2,Sulzberger,1
2021-04-01,3,Sulzberger,2
2021-04-01,4,Sulzberger,2
2021-04-01,5,Sulzberger,3
2021-04-01,1,Iceberg,4
2021-04-01,2,Iceberg,6
2021-04-01,3,Iceberg,6
2021-04-01,4,Iceberg,7
2021-04-01,5,Iceberg,6
2021-04-01,1,Iceberg,5
2021-04-01,2,Iceberg,6
2021-04-01,3,Iceberg,5
2021-04-01,4,Iceberg,8
2021-04-01,5,Iceberg,2
2021-04-01,1,Hope,1
2021-04-01,2,Hope,2
2021-04-01,3,Hope,2
2021-04-01,4,Hope,1
2021-04-01,5,Hope,3
2021-04-01,1,Hope,1
2021-04-01,2,Hope,1
2021-04-01,3,Hope,2
2021-04-01,4,Hope,3
2021-04-01,5,Hope,2
